Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
6b35cce6-e5ae-4229-803a-a3425000e3e3,09/03/2026 04:15:00,S&P Global Composite PMI,HIGH,AED,Release,0.17,Growth
bc4212a7-6a4c-4cde-a421-f772e505dc5e,09/03/2026 04:15:00,S&P Global Construction PMI,HIGH,AED,Release,0.17,Growth
33bfe378-746f-4a70-9e63-6657b631d2ff,09/10/2026 08:00:00,M3 Money Supply,HIGH,AED,Release,0.2,Monetary Policy
3a60d017-5344-4983-ae24-0417853da4c1,09/10/2026 08:00:00,Private Sector Loans,LOW,AED,Release,0.09,Money and Credit
3b753cc6-5342-4293-8788-4e9d7952339e,10/05/2026 04:15:00,S&P Global Composite PMI,HIGH,AED,Release,0.17,Growth
2116e4b5-e491-44f3-a494-e7e48824eac8,10/05/2026 04:15:00,S&P Global Construction PMI,HIGH,AED,Release,0.17,Growth
31e918b6-5bc1-459e-bd48-837f31f19434,10/12/2026 08:00:00,M3 Money Supply,HIGH,AED,Release,0.2,Monetary Policy
66c778c7-eb41-4134-a110-1a813eb5dedd,10/12/2026 08:00:00,Private Sector Loans,LOW,AED,Release,0.09,Money and Credit
02e32b96-78f7-4549-8a76-b0f1e05bb0b5,11/04/2026 04:15:00,S&P Global Composite PMI,HIGH,AED,Release,0.17,Growth
08fe7a92-dfcd-49ea-a25b-5d3867a1147c,11/04/2026 04:15:00,S&P Global Construction PMI,HIGH,AED,Release,0.17,Growth
934360a3-75df-40b7-9f31-55372d2edaea,11/18/2026 08:00:00,M3 Money Supply,HIGH,AED,Release,0.2,Monetary Policy
d78a5e06-c0b0-4115-b1cb-3887415932ec,11/18/2026 08:00:00,Private Sector Loans,LOW,AED,Release,0.09,Money and Credit
1f8e85dc-ecee-42f7-8511-01a5879edb29,12/06/2026 04:15:00,S&P Global Composite PMI,HIGH,AED,Release,0.17,Growth
46d8a600-9776-46c9-ba5e-fa84aef5d1df,12/06/2026 04:15:00,S&P Global Construction PMI,HIGH,AED,Release,0.17,Growth
533697fe-4abb-4f74-b6e6-490184bedabe,12/15/2026 08:00:00,M3 Money Supply,HIGH,AED,Release,0.2,Monetary Policy
4e68b5e7-12c3-4d4b-b975-9e44c146e554,12/15/2026 08:00:00,Private Sector Loans,LOW,AED,Release,0.09,Money and Credit
3ccfdaa9-1030-4dd8-894d-930f4cfe75aa,01/06/2027 04:15:00,S&P Global Composite PMI,HIGH,AED,Release,0.17,Growth
47bade15-c603-436b-a3ba-24a76ceafb2e,01/06/2027 04:15:00,S&P Global Construction PMI,HIGH,AED,Release,0.17,Growth
62d87c92-f8c0-43a7-aa97-462ee7dc55cf,01/14/2027 08:00:00,M3 Money Supply,HIGH,AED,Release,0.2,Monetary Policy
697671a9-cc22-4c71-8414-56ec2add2ddb,01/14/2027 08:00:00,Private Sector Loans,LOW,AED,Release,0.09,Money and Credit
