Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
b1cb9378-81df-4784-abf1-ba2b9fd98586,11/28/2025 10:00:00,Gross Domestic Product (QoQ),HIGH,EUR,Release,0.722,Growth
2e8b563c-0fbe-405b-b5e3-87c4ed42d012,12/18/2025 10:00:00,Consumer Confidence Index,HIGH,EUR,Release,0.595,Confidence
d3fa7b99-540d-47ad-a494-db73a7247a64,12/19/2025 14:00:00,Leading Indicator,HIGH,EUR,Release,0.595,Confidence
e119334f-6bed-4f02-a316-b8fc3385c0f5,12/23/2025 10:30:00,Consumer Price Index (MoM),HIGH,EUR,Release,0.807,Inflation
ed97ade0-2c7c-44a5-a6d7-5d3f3774b876,12/23/2025 10:30:00,Consumer Price Index (YoY),HIGH,EUR,Release,0.807,Inflation
596f2020-4cf5-4394-a3ee-97b72ef43ae8,01/22/2026 10:00:00,Consumer Confidence Index,HIGH,EUR,Release,0.595,Confidence
9b2df7da-f274-487d-a552-463e39f1bdbb,01/27/2026 14:00:00,Leading Indicator,HIGH,EUR,Release,0.595,Confidence
5e998160-8359-4221-8ad4-036900dd6970,01/29/2026 10:00:00,Gross Domestic Product (QoQ),HIGH,EUR,Release,0.722,Growth
f210c209-288c-4998-8840-7b49490c7b57,01/30/2026 10:30:00,Consumer Price Index (MoM),HIGH,EUR,Release,0.807,Inflation
679f8892-2a3f-481a-8794-651f2df2476b,01/30/2026 10:30:00,Consumer Price Index (YoY),HIGH,EUR,Release,0.807,Inflation
