Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
9086f024-cc6c-4ff6-98aa-08f2eaf9b6ea,02/23/2026 01:15:00,PBoC Interest Rate Decision,HIGH,CNY,Release,0.2,Monetary Policy
cd44b85a-462c-4999-b0bb-58538cf44ddb,02/24/2026 09:00:00,FDI - Foreign Direct Investment (YTD) (YoY),HIGH,CNY,Release,0.17,Growth
66145650-3f17-442a-8845-66d08c02d9c0,03/02/2026 01:45:00,RatingDog Manufacturing PMI,HIGH,CNY,Release,0.17,Growth
378d4a67-4a82-4d8a-8386-a039ed18aad1,03/04/2026 01:30:00,NBS Manufacturing PMI,HIGH,CNY,Release,0.17,Growth
dbe9bd72-e0cf-459e-b4bf-cadc9ae5e84b,03/04/2026 01:30:00,NBS Non-Manufacturing PMI,HIGH,CNY,Release,0.17,Growth
76e5718e-99a1-4b68-88f9-c3ae25e4a0e0,03/04/2026 01:45:00,RatingDog Services PMI,HIGH,CNY,Release,0.17,Growth
d69dd097-efeb-437d-b98e-3f2ff90b7d1c,03/07/2026 08:00:00,Foreign Exchange Reserves (MoM),LOW,CNY,Release,0.09,Money and Credit
5ef2a15d-2abd-44ae-a85e-6e1c70d32875,03/09/2026 01:30:00,Consumer Price Index (MoM),HIGH,CNY,Release,0.19,Inflation
e4a0f77b-47aa-4c8f-9e57-81ecfbdad200,03/09/2026 01:30:00,Consumer Price Index (YoY),HIGH,CNY,Release,0.19,Inflation
d0c27b9f-dccc-4272-8613-f1cc13c7b27a,03/09/2026 01:30:00,Producer Price Index (YoY),HIGH,CNY,Release,0.19,Inflation
0d4693e4-4fcf-4f6a-b476-36f160cef957,03/09/2026 03:00:00,Exports (YoY),MEDIUM,CNY,Release,0.11,Trade and External
bd4419f4-ab40-4d5d-86e0-6ff75587ddca,03/09/2026 03:00:00,Exports (YoY) CNY,MEDIUM,CNY,Release,0.11,Trade and External
de0a2293-e5d9-4142-a897-3cec58390c0c,03/09/2026 03:00:00,Imports (YoY),MEDIUM,CNY,Release,0.11,Trade and External
c71a66d7-5bf2-4c7d-8f77-3b7750d6c675,03/09/2026 03:00:00,Imports (YoY) CNY,MEDIUM,CNY,Release,0.11,Trade and External
f19d257d-15b2-4be4-8d07-66619786b223,03/09/2026 03:00:00,Trade Balance CNY,MEDIUM,CNY,Release,0.11,Trade and External
b170132f-c098-4193-ad99-a12f28e5c2b6,03/09/2026 03:00:00,Trade Balance USD,MEDIUM,CNY,Release,0.11,Trade and External
ade788d8-01a4-4f7b-b1fe-6777b0b81d54,03/13/2026 10:00:00,M2 Money Supply (YoY),HIGH,CNY,Release,0.19,Inflation
f88c54b5-fce0-4220-a21d-f9dacdb64965,03/13/2026 10:00:00,New Loans,LOW,CNY,Release,0.09,Money and Credit
4cc63a7e-6172-498c-ae15-998028e56d6b,03/16/2026 01:30:00,House Price Index ,LOW,CNY,Release,0.07,Housing
f1109999-a30f-432a-9891-029d462326d7,03/16/2026 02:00:00,Fixed Asset Investment (YTD) (YoY),HIGH,CNY,Release,0.17,Growth
2f68d669-5fe7-4d0e-8fe2-35514e5ba9b8,03/16/2026 02:00:00,Industrial Production (YoY),HIGH,CNY,Release,0.17,Growth
f30802de-11f3-410b-961a-25342ecee502,03/16/2026 02:00:00,Retail Sales (YoY),HIGH,CNY,Release,0.17,Growth
154249eb-2f86-4641-9fac-366936722856,03/16/2026 09:00:00,FDI - Foreign Direct Investment (YTD) (YoY),HIGH,CNY,Release,0.17,Growth
aedf054d-1f10-4c5b-9309-ba1c05c7763b,03/20/2026 01:15:00,PBoC Interest Rate Decision,HIGH,CNY,Release,0.2,Monetary Policy
314d93c1-0112-4640-bfa6-b1cb2a2f3dfc,03/31/2026 01:30:00,NBS Manufacturing PMI,HIGH,CNY,Release,0.17,Growth
1fc89966-7978-4831-bdb7-aaec38168079,03/31/2026 01:30:00,NBS Non-Manufacturing PMI,HIGH,CNY,Release,0.17,Growth
d984bc45-c53a-46a4-8341-a9c9afa9a934,04/01/2026 01:45:00,RatingDog Manufacturing PMI,HIGH,CNY,Release,0.17,Growth
709fb4ac-69eb-47c8-8082-33f3f37ec7c1,04/03/2026 01:45:00,RatingDog Services PMI,HIGH,CNY,Release,0.17,Growth
81b12671-0250-4f22-9ee8-e32e63f45ef4,04/07/2026 08:00:00,Foreign Exchange Reserves (MoM),LOW,CNY,Release,0.09,Money and Credit
1ef75a30-882a-46e2-b99b-94aafe6441d6,04/09/2026 01:30:00,Consumer Price Index (MoM),HIGH,CNY,Release,0.19,Inflation
93336883-0de3-4276-afb5-ba8a1fcfa64c,04/09/2026 01:30:00,Consumer Price Index (YoY),HIGH,CNY,Release,0.19,Inflation
ad4530ee-5457-4800-bab0-62994110f2e4,04/09/2026 01:30:00,Producer Price Index (YoY),HIGH,CNY,Release,0.19,Inflation
8c2e9623-734d-4247-9dd6-fc908c3bf7df,04/10/2026 09:00:00,FDI - Foreign Direct Investment (YTD) (YoY),HIGH,CNY,Release,0.17,Growth
66ffb258-4813-41af-bd9a-7d0f9c03fd2c,04/14/2026 03:00:00,Exports (YoY),MEDIUM,CNY,Release,0.11,Trade and External
92a540a5-a4db-46a2-ac7a-6a144b28df9b,04/14/2026 03:00:00,Exports (YoY) CNY,MEDIUM,CNY,Release,0.11,Trade and External
bcb2a25a-7965-4487-b680-c66aff0222b4,04/14/2026 03:00:00,Imports (YoY),MEDIUM,CNY,Release,0.11,Trade and External
6451d7fd-03b5-47aa-b325-68e279e59487,04/14/2026 03:00:00,Imports (YoY) CNY,MEDIUM,CNY,Release,0.11,Trade and External
824253d0-8938-40ce-826b-adf8fdd73872,04/14/2026 03:00:00,Trade Balance CNY,MEDIUM,CNY,Release,0.11,Trade and External
854d3852-db9e-4e31-a627-45782e6681f4,04/14/2026 03:00:00,Trade Balance USD,MEDIUM,CNY,Release,0.11,Trade and External
