Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
4a7ca20b-2a9f-4bbc-be9f-f92c49aac756,12/08/2025 08:00:00,Construction output (YoY),HIGH,CZK,Release,0.17,Growth
b78588ae-a2e2-4564-a445-f626b396b5ac,12/08/2025 08:00:00,Foreign Trade Balance (MoM),MEDIUM,CZK,Release,0.11,Trade and External
74427e17-98d5-4c9f-bb6a-1441ed6eec28,12/08/2025 08:00:00,Industrial Production (YoY),HIGH,CZK,Release,0.17,Growth
00b9cb66-a2c3-41d6-8f13-0abfc6b1a392,12/08/2025 08:00:00,Unemployment Rate,HIGH,CZK,Release,0.18,Labor Market
4a463c74-c1e1-4b16-9884-3f84f91c186c,12/09/2025 09:00:00,FX Reserves,LOW,CZK,Release,0.09,Money and Credit
44ef6385-17a8-412c-bc99-3045d6f0ee33,12/10/2025 08:00:00,Consumer Price Index (MoM),HIGH,CZK,Release,0.19,Inflation
4945363d-756b-4899-9436-c15b387b74ae,12/10/2025 08:00:00,Consumer Price Index (YoY),HIGH,CZK,Release,0.19,Inflation
8258d8a7-256f-4b35-be5a-c9ee8e886581,12/15/2025 09:00:00,Current Account (MoM),MEDIUM,CZK,Release,0.11,Trade and External
01a03fba-6372-421e-a355-fac6e29f35fb,12/16/2025 08:00:00,Producer Price Index (MoM),HIGH,CZK,Release,0.19,Inflation
d7dba87f-a7b0-4e28-a23f-70413f20950c,12/16/2025 08:00:00,Producer Price Index (YoY),HIGH,CZK,Release,0.19,Inflation
c9685ff5-dbce-4076-8615-6b80376ccc58,12/18/2025 13:30:00,CNB Interest Rate Decision,HIGH,CZK,Release,0.2,Monetary Policy
04007ecd-348d-4396-b903-ce3e2467ab23,12/22/2025 09:00:00,Foreign Debt,MEDIUM,CZK,Release,0.11,Trade and External
6d7718d3-392e-454f-bdef-fa8aadd1b2bb,01/02/2026 08:00:00,Gross Domestic Product (YoY) 	,HIGH,CZK,Release,0.17,Growth
5f8f54da-d790-4072-bf6d-024d660525ea,01/02/2026 08:30:00,S&P Global PMI,HIGH,CZK,Release,0.17,Growth
4021fd62-3487-46b8-8ee7-53049e5a3484,01/02/2026 13:00:00,Budget Balance,MEDIUM,CZK,Release,0.11,Trade and External
3bfe43b4-9464-41cd-bf07-874d7b11dfed,01/06/2026 08:00:00,Foreign Trade Balance (MoM),MEDIUM,CZK,Release,0.11,Trade and External
99a5564d-b55c-449d-8d32-4b535d3207d9,01/07/2026 09:00:00,FX Reserves,LOW,CZK,Release,0.09,Money and Credit
c9083f62-aa40-407f-b46a-b9145c1bb93a,01/08/2026 08:00:00,Construction output (YoY),HIGH,CZK,Release,0.17,Growth
1447e142-36a4-4866-b90e-bc61316d8524,01/08/2026 08:00:00,Industrial Production (YoY),HIGH,CZK,Release,0.17,Growth
256dd210-5242-4884-a90a-a4ae22be69bc,01/08/2026 08:00:00,Unemployment Rate,HIGH,CZK,Release,0.18,Labor Market
1be487e7-64ec-4ad4-96de-de47fe1fdd01,01/12/2026 08:00:00,Retail Sales (YoY),HIGH,CZK,Release,0.17,Growth
00bec9bf-bbeb-4bfb-9f9d-30b2ae047dbe,01/13/2026 08:00:00,Consumer Price Index (MoM),HIGH,CZK,Release,0.19,Inflation
b01f269d-58cc-4d59-add6-31bbc251a44f,01/13/2026 08:00:00,Consumer Price Index (YoY),HIGH,CZK,Release,0.19,Inflation
a404f832-0257-474f-a609-bdcc5d7d2801,01/13/2026 09:00:00,Current Account (MoM),MEDIUM,CZK,Release,0.11,Trade and External
e45d3373-ecbe-4566-aeb7-b39d9d22eb47,01/16/2026 08:00:00,Producer Price Index (MoM),HIGH,CZK,Release,0.19,Inflation
2acc81cf-6f69-4ed8-8c9d-5301656bcdd3,01/16/2026 08:00:00,Producer Price Index (YoY),HIGH,CZK,Release,0.19,Inflation
e6e9ef28-22cd-43d0-ae90-e9eefb106cda,01/30/2026 08:00:00,Gross Domestic Product (YoY) 	,HIGH,CZK,Release,0.17,Growth
93720848-724a-4da9-b9b9-f6e30c4acd23,03/23/2026 09:00:00,Foreign Debt,MEDIUM,CZK,Release,0.11,Trade and External
