Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
9f9c9bd1-bd9f-4a1a-b6e6-8c9f8b1c9176,01/09/2026 06:00:00,Industrial Output (MoM),HIGH,EUR,Release,0.722,Growth
88e25956-03c5-4427-9ccc-600407f701cb,01/09/2026 07:00:00,Trade Balance,HIGH,EUR,Release,0.468,Trade and External
118b566d-cc7c-490f-ab09-40908de5f611,01/12/2026 06:00:00,Current Account,HIGH,EUR,Release,0.468,Trade and External
49bf9b61-9e9c-4a30-a8a0-15624235c54d,01/14/2026 06:00:00,Consumer Price Index (YoY),HIGH,EUR,Release,0.807,Inflation
ddc90faa-6cdb-45f4-a27f-4eda60008233,01/26/2026 06:00:00,Export Prices (YoY),HIGH,EUR,Release,0.468,Trade and External
a5919de6-8923-4304-8ee6-110521d74537,01/26/2026 06:00:00,Import Prices (YoY),HIGH,EUR,Release,0.807,Inflation
e4d9cbad-452e-419b-8283-10978625ab10,01/26/2026 06:00:00,Producer Price Index (YoY),HIGH,EUR,Release,0.807,Inflation
a15284af-52a1-47dd-9ecd-a2bed5864f38,01/27/2026 06:00:00,Consumer Confidence,HIGH,EUR,Release,0.595,Confidence
4d714ad1-3b69-4ad9-8428-f723976c23a4,01/27/2026 06:00:00,Industrial Confidence,HIGH,EUR,Release,0.595,Confidence
0572b76e-2cea-4b45-840c-f28684ff284f,01/27/2026 06:00:00,Unemployment Rate,HIGH,EUR,Release,0.765,Labor Market
2ff26e2c-d0d9-4352-8d09-507db10c53a3,01/30/2026 06:00:00,Gross Domestic Product (YoY),HIGH,EUR,Release,0.722,Growth
