Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
03dbc7e0-b359-4d3e-a40b-65a8c47f49e4,12/10/2025 10:00:00,Industrial Production (YoY),HIGH,EUR,Release,0.722,Growth
2f25201a-7ed2-4312-be6b-87c7b128ad9f,12/19/2025 09:00:00,Current Account (YoY),HIGH,EUR,Release,0.468,Trade and External
a0ef2467-affa-4715-8131-2a1ae4adc98d,12/30/2025 10:00:00,Producer Price Index (YoY),HIGH,EUR,Release,0.807,Inflation
9912eb18-a6e3-4203-a3d3-8f014edd8de0,12/31/2025 10:00:00,Retail Sales (YoY),HIGH,EUR,Release,0.722,Growth
8f1b4136-9f21-43c5-a5f1-f78c7ad3a61b,01/02/2026 09:00:00,S&P Global Manufacturing PMI,HIGH,EUR,Release,0.722,Growth
5b270b7a-3c24-4fba-a64e-f6377a22714d,01/02/2026 10:00:00,Unemployment Rate (MoM),HIGH,EUR,Release,0.765,Labor Market
82ec065d-5d1c-49a3-ad91-c657095caaa1,01/09/2026 10:00:00,Consumer Price Index - Harmonized (YoY),HIGH,EUR,Release,0.807,Inflation
095a9c2e-eb1b-43ec-b001-c70795597ddb,01/09/2026 10:00:00,Consumer Price Index (YoY),HIGH,EUR,Release,0.807,Inflation
421e37be-3175-4fd9-ad71-6886f5a0667d,01/09/2026 10:00:00,Industrial Production (YoY),HIGH,EUR,Release,0.722,Growth
67ab2963-4103-4d7e-914f-d7c95d7120f7,01/22/2026 09:00:00,Current Account (YoY),HIGH,EUR,Release,0.468,Trade and External
6484c89e-8db5-46b8-af00-7a99f5fc5320,01/30/2026 10:00:00,Producer Price Index (YoY),HIGH,EUR,Release,0.807,Inflation
eb350b43-0226-4f03-a22c-9fe72552256a,01/30/2026 10:00:00,Retail Sales (YoY),HIGH,EUR,Release,0.722,Growth
5c1cee51-e335-420a-a7f6-956c460bcf81,03/06/2026 10:00:00,Gross Domestic Product s.a (YoY),HIGH,EUR,Release,0.722,Growth
