Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
28806156-b944-41bf-88a5-77e23530d469,12/01/2025 01:01:00,AIB Manufacturing PMI,HIGH,EUR,Release,0.722,Growth
9773cdd8-baad-443c-9875-19bcf56016ad,12/03/2025 01:01:00,AIB Services PMI,HIGH,EUR,Release,0.722,Growth
02331b7c-b969-4c2c-a5bf-4693bd7252ed,12/04/2025 11:00:00,Gross Domestic Product (QoQ),HIGH,EUR,Release,0.722,Growth
0177a837-5b3f-4f7d-bed1-9541f2ecf4e1,12/04/2025 11:00:00,Gross Domestic Product (YoY),HIGH,EUR,Release,0.722,Growth
458a1ee9-ee05-417f-a6cd-deed4ee3e2e1,12/11/2025 11:00:00,Consumer Price Index (MoM),HIGH,EUR,Release,0.807,Inflation
4c36f6e0-ef47-4986-b6e6-749b3e666608,12/11/2025 11:00:00,Consumer Price Index (YoY),HIGH,EUR,Release,0.807,Inflation
3f09f34b-5d87-4d68-b199-913b702aca20,12/11/2025 11:00:00,HICP (MoM),HIGH,EUR,Release,0.807,Inflation
5ca3d392-fbb1-4d13-b6e7-75a0fe924017,12/11/2025 11:00:00,HICP (YoY),HIGH,EUR,Release,0.807,Inflation
8ded77d4-b2a2-462e-be94-16100c9ec1bf,12/19/2025 00:01:00,Consumer Confidence,HIGH,EUR,Release,0.595,Confidence
6e5d91d6-5f7c-481b-8412-e8736bec46a6,01/02/2026 01:01:00,AIB Manufacturing PMI,HIGH,EUR,Release,0.722,Growth
c278975c-1135-42b6-ab4c-80452efa372f,01/05/2026 01:01:00,AIB Services PMI,HIGH,EUR,Release,0.722,Growth
4217751c-648b-49a1-8816-c0e0f9a5a2b0,01/08/2026 11:00:00,Retail Sales (MoM),HIGH,EUR,Release,0.722,Growth
33e226be-6e0a-49a7-8e1c-8ed3d71f1fd7,01/08/2026 11:00:00,Retail Sales (YoY),HIGH,EUR,Release,0.722,Growth
f7ba8fb4-a329-4acd-8412-39d501d86b2e,01/15/2026 11:00:00,Consumer Price Index (MoM),HIGH,EUR,Release,0.807,Inflation
acd1366a-4a7f-4bd9-9d46-8e35b0cb3e37,01/15/2026 11:00:00,Consumer Price Index (YoY),HIGH,EUR,Release,0.807,Inflation
68f95727-28a1-4189-bad6-5b6207337a4a,01/15/2026 11:00:00,HICP (MoM),HIGH,EUR,Release,0.807,Inflation
2c971176-fefe-4dd6-8345-dcdd656a63f3,01/15/2026 11:00:00,HICP (YoY),HIGH,EUR,Release,0.807,Inflation
4886db8f-a5be-4e67-aa5b-d6a75c61c273,01/27/2026 00:01:00,Consumer Confidence,HIGH,EUR,Release,0.595,Confidence
4813726b-c036-4e60-bc14-642d56c6c54d,01/29/2026 11:00:00,Retail Sales (MoM),HIGH,EUR,Release,0.722,Growth
19f0dc6b-1f31-4136-91ef-919dec5f0615,01/29/2026 11:00:00,Retail Sales (YoY),HIGH,EUR,Release,0.722,Growth
7e478fc6-cc9c-43d5-8b4f-15115d95afdf,03/02/2026 11:00:00,Gross Domestic Product (QoQ),HIGH,EUR,Release,0.722,Growth
82505b94-40e7-4e22-b512-302938d47218,03/02/2026 11:00:00,Gross Domestic Product (YoY),HIGH,EUR,Release,0.722,Growth
