Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
ef4e2ac9-e914-49b4-b28a-b6faf14975cd,03/18/2026 08:30:00,CBI Interest Rate Decision,HIGH,ISK,Release,0.2,Monetary Policy
969e2743-a09e-4214-86ec-a6e5b192be5f,03/26/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
ed559e47-d784-485d-bb3c-cb1e7667d890,03/26/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
25feaf4d-6497-4a2f-a3a4-d046d35e8166,04/29/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
0866760b-c5e4-4d1e-b8e3-bbccb22a9bb0,04/29/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
eb16fc2e-0289-4a09-917f-f84f13cf352f,05/20/2026 08:30:00,CBI Interest Rate Decision,HIGH,ISK,Release,0.2,Monetary Policy
369f6a1f-28b6-4e49-bd97-2eab75f9820d,05/28/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
9a86aa85-7b0b-4f31-913c-135119adf587,05/28/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
dbc81ed5-b780-4265-b971-c4447336438c,05/29/2026 09:00:00,Gross Domestic Product (QoQ),HIGH,ISK,Release,0.17,Growth
21db1925-1723-409b-9dfd-c78867e731fd,05/29/2026 09:00:00,Gross Domestic Product (YoY),HIGH,ISK,Release,0.17,Growth
a1385d43-c0e7-4be1-a538-1b138a1b7ea0,06/26/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
ff421677-bebb-498d-8bb6-08437c94dc9c,06/26/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
cf360817-2d59-4a40-98e6-2fd926969f34,07/23/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
6b15f3eb-5c8b-4605-8efc-aa75eaed0a9f,07/23/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
d13f12de-1074-4e90-89ca-4a5311fa761b,08/19/2026 08:30:00,CBI Interest Rate Decision,HIGH,ISK,Release,0.2,Monetary Policy
f45991dd-0572-45ea-9c17-54fff1e3aa8f,08/27/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
bced26b5-5d6c-4a82-996b-086574ec5384,08/27/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
28ed8bad-a0de-4d87-bfb0-9158dc8954d8,08/31/2026 09:00:00,Gross Domestic Product (QoQ),HIGH,ISK,Release,0.17,Growth
1c699f14-35e4-47e7-8143-90c5cf478354,08/31/2026 09:00:00,Gross Domestic Product (YoY),HIGH,ISK,Release,0.17,Growth
ded0fe33-1fcb-4f62-8f4a-d9b4a05fea6b,09/29/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
fd70b877-978c-4200-b354-b92692161a08,09/29/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
e9078101-d653-4d13-bff4-9864bad65ae7,10/07/2026 08:30:00,CBI Interest Rate Decision,HIGH,ISK,Release,0.2,Monetary Policy
428b52e7-82ca-4c66-94fa-2431881ceb3d,10/29/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
662e5674-8748-4ab0-96fb-2ca489f7e69a,10/29/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
21f66405-8398-45ff-9fd1-3c10d51ae45c,11/18/2026 08:30:00,CBI Interest Rate Decision,HIGH,ISK,Release,0.2,Monetary Policy
4352a1bd-3b2d-4c90-a434-0d12622e4f98,11/26/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
615b73a7-a29a-4271-a5cb-d7e307b5277b,11/26/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
b20c8e27-8c78-4ef2-a4ab-018ec4e60aa3,11/30/2026 09:00:00,Gross Domestic Product (QoQ),HIGH,ISK,Release,0.17,Growth
5972d3b0-750c-47f7-abc4-71272fa68a97,11/30/2026 09:00:00,Gross Domestic Product (YoY),HIGH,ISK,Release,0.17,Growth
d92384af-44da-4f9f-aa93-a046efefdb0c,12/22/2026 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
bff02e05-3f75-4c0f-8b6b-dda4459fbd90,12/22/2026 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
c9ca35f2-2ea2-4dfc-a805-4aca96db027f,01/29/2027 09:00:00,Consumer Price Index (MoM),HIGH,ISK,Release,0.19,Inflation
f975e095-1e0e-4cf8-967b-32067692dfb9,01/29/2027 09:00:00,Consumer Price Index (YoY),HIGH,ISK,Release,0.19,Inflation
6e8444cf-71f4-4a1b-a2c9-f446b82ac0b5,03/02/2027 09:00:00,Gross Domestic Product (QoQ),HIGH,ISK,Release,0.17,Growth
79ef63f7-43e2-4114-a11b-765c797c6ee6,03/02/2027 09:00:00,Gross Domestic Product (YoY),HIGH,ISK,Release,0.17,Growth
