Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
d0b7ef1c-8e79-44aa-90ee-46e820421ecc,11/10/2025 14:00:00,Consumer Price Index (MoM),HIGH,KWD,Release,0.19,Inflation
6d56f131-2eb4-41dc-813a-5cbf97641c14,11/10/2025 14:00:00,Consumer Price Index (YoY),HIGH,KWD,Release,0.19,Inflation
39318520-ea11-488e-ad8f-66ae6089c13c,11/17/2025 06:00:00,Consumer Price Index (MoM),HIGH,KWD,Release,0.19,Inflation
6edd3dea-e20a-4615-ae62-a9a4bb6a5344,11/17/2025 06:00:00,Consumer Price Index (YoY),HIGH,KWD,Release,0.19,Inflation
808c46d6-43e4-4137-abf4-93a6a2a27ac4,11/19/2025 06:00:00,Consumer Price Index (MoM),HIGH,KWD,Release,0.19,Inflation
0bfa66c0-96a7-4dc7-947a-d634de4383d1,11/19/2025 06:00:00,Consumer Price Index (YoY),HIGH,KWD,Release,0.19,Inflation
97dc6d6e-3e98-46a6-a6ae-691d36f4299d,12/15/2025 08:00:00,M2 Money Supply,HIGH,KWD,Release,0.2,Monetary Policy
4849d4ec-2c25-4c33-926d-100f56637699,12/22/2025 06:00:00,Consumer Price Index (MoM),HIGH,KWD,Release,0.19,Inflation
2a10f412-e967-4cff-a0df-f9af1dce593c,12/22/2025 06:00:00,Consumer Price Index (YoY),HIGH,KWD,Release,0.19,Inflation
6b94b1f9-5d10-4357-9c1b-0380e2a17df5,12/31/2025 14:00:00,Exports,MEDIUM,KWD,Release,0.11,Trade and External
42c37fa8-885f-4f01-9e30-edd674f4ad04,12/31/2025 14:00:00,Imports,MEDIUM,KWD,Release,0.11,Trade and External
949f9da9-c82e-4f55-9a6a-888c94267f44,01/15/2026 08:00:00,M2 Money Supply,HIGH,KWD,Release,0.2,Monetary Policy
47afb740-ab25-493e-9ce3-7557646f3478,01/19/2026 06:00:00,Consumer Price Index (MoM),HIGH,KWD,Release,0.19,Inflation
91e80af7-8fe2-44d1-8ba3-2c19749f10ee,01/19/2026 06:00:00,Consumer Price Index (YoY),HIGH,KWD,Release,0.19,Inflation
