Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
e492a22f-5c25-4fd3-b9ab-5cb24f327996,12/23/2025 12:00:00,Gross Domestic Product (QoQ),HIGH,QAR,Release,0.17,Growth
e77d9e25-36cf-4b9e-9a48-5dffaa1f4999,12/23/2025 12:00:00,Gross Domestic Product (YoY),HIGH,QAR,Release,0.17,Growth
578ee31d-5dc1-4bfc-8265-c5b489ad445f,12/23/2025 14:00:00,M2 Money Supply,HIGH,QAR,Release,0.2,Monetary Policy
733cb0d9-cda1-452c-8051-8972bb7f8686,01/15/2026 12:00:00,Consumer Price Index (MoM),HIGH,QAR,Release,0.19,Inflation
3a99da77-e8fc-4c3c-b3b3-89a63412c2c6,01/15/2026 12:00:00,Consumer Price Index (YoY),HIGH,QAR,Release,0.19,Inflation
78900413-12ac-40e1-a5a4-e0c757fc96f3,01/21/2026 14:00:00,M2 Money Supply,HIGH,QAR,Release,0.2,Monetary Policy
6acc6619-3de0-4682-8dee-9e9a3f8df033,03/31/2026 12:00:00,Gross Domestic Product (QoQ),HIGH,QAR,Release,0.17,Growth
0e4f9bf0-05a5-4265-b89b-3e53f864e799,03/31/2026 12:00:00,Gross Domestic Product (YoY),HIGH,QAR,Release,0.17,Growth
9af10a7d-1df8-48ca-ac4a-9fec255aad7f,09/15/2026 12:00:00,Gross Domestic Product (QoQ),HIGH,QAR,Release,0.17,Growth
7bf4c02f-dc16-4309-8aa6-ec413a7fc69e,09/15/2026 12:00:00,Gross Domestic Product (YoY),HIGH,QAR,Release,0.17,Growth
