Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
bd0398f8-307b-4a60-b281-888e6fccbfdb,02/01/2026 06:00:00,Gross Domestic Product (YoY),HIGH,SAR,Release,0.17,Growth
949d73b0-b8dc-42f1-b731-ead5a7ce1585,02/03/2026 04:15:00,Riyad Bank PMI,MEDIUM,SAR,Release,0.14,Confidence
4c335c5d-bc7c-4112-9a24-5a215c92b3d5,02/05/2026 16:00:00,M3 Money Supply (YoY),HIGH,SAR,Release,0.19,Inflation
a1705643-70a2-4e1d-91b3-7887970f0e47,02/15/2026 06:00:00,Consumer Price Index (MoM),HIGH,SAR,Release,0.19,Inflation
8084841e-9939-42a9-952e-53bfed5cdfe7,02/15/2026 06:00:00,Consumer Price Index (YoY),HIGH,SAR,Release,0.19,Inflation
cb7aaa80-e80d-47e0-a815-af468c39bbef,02/27/2026 16:00:00,M3 Money Supply (YoY),HIGH,SAR,Release,0.19,Inflation
6993ca6d-4905-45ad-90b7-b5e3f3ba02f8,02/27/2026 16:00:00,Private Sector Loans (YoY),LOW,SAR,Release,0.09,Money and Credit
69541540-88d6-401c-bcc2-3d3d3632b034,03/03/2026 04:15:00,Riyad Bank PMI,MEDIUM,SAR,Release,0.14,Confidence
db79b7fb-2a29-469f-b40e-6b284caadd5e,03/08/2026 06:00:00,Gross Domestic Product (YoY),HIGH,SAR,Release,0.17,Growth
0d7992bc-e872-4ada-81a5-0c521d256917,03/15/2026 06:00:00,Consumer Price Index (MoM),HIGH,SAR,Release,0.19,Inflation
505091f1-3402-4e7b-b513-b40e1419e63a,03/15/2026 06:00:00,Consumer Price Index (YoY),HIGH,SAR,Release,0.19,Inflation
1a4e3c2b-7ee9-4ab8-a361-0f58d387729a,03/30/2026 16:00:00,M3 Money Supply (YoY),HIGH,SAR,Release,0.19,Inflation
92a8cf4f-5843-4e30-99ec-bac04d76b8d6,03/30/2026 16:00:00,Private Sector Loans (YoY),LOW,SAR,Release,0.09,Money and Credit
036c47ee-c235-48e4-98b3-1348a7a9eebb,04/05/2026 04:15:00,Riyad Bank PMI,MEDIUM,SAR,Release,0.14,Confidence
4c820352-f9d2-4f4d-8664-d7d5c7aa5109,04/15/2026 06:00:00,Consumer Price Index (MoM),HIGH,SAR,Release,0.19,Inflation
886f9645-58c1-47a0-8517-813308bceb32,04/15/2026 06:00:00,Consumer Price Index (YoY),HIGH,SAR,Release,0.19,Inflation
4f4c50f1-4a1c-4b6d-97b7-7ef4432989db,04/30/2026 06:00:00,Gross Domestic Product (YoY),HIGH,SAR,Release,0.17,Growth
c9d8799f-0921-427d-913e-318a8176df0b,04/30/2026 16:00:00,M3 Money Supply (YoY),HIGH,SAR,Release,0.19,Inflation
461c565e-e0b7-497f-94f7-81ea24820781,04/30/2026 16:00:00,Private Sector Loans (YoY),LOW,SAR,Release,0.09,Money and Credit
435c25a5-03b9-467a-8e0d-bf0aafa7fdaf,05/05/2026 04:15:00,Riyad Bank PMI,MEDIUM,SAR,Release,0.14,Confidence
28563fbc-b524-4c8b-a911-3a803e858f35,05/14/2026 06:00:00,Consumer Price Index (MoM),HIGH,SAR,Release,0.19,Inflation
7517a02b-902f-4df1-b5e0-f1b4ca99ea20,05/14/2026 06:00:00,Consumer Price Index (YoY),HIGH,SAR,Release,0.19,Inflation
2f54bb03-0561-4554-92e3-926c4db2e984,05/29/2026 16:00:00,M3 Money Supply (YoY),HIGH,SAR,Release,0.19,Inflation
d78f763a-5614-4659-973e-51798372f7de,05/29/2026 16:00:00,Private Sector Loans (YoY),LOW,SAR,Release,0.09,Money and Credit
874ec948-694b-4bfc-b1d3-78e0d6ca0559,06/03/2026 04:15:00,Riyad Bank PMI,MEDIUM,SAR,Release,0.14,Confidence
728cad6b-6324-4531-ae8a-3a43b96089f6,06/08/2026 06:00:00,Gross Domestic Product (YoY),HIGH,SAR,Release,0.17,Growth
df05ce45-10df-4922-b1c8-e0516b8e46d8,06/15/2026 06:00:00,Consumer Price Index (MoM),HIGH,SAR,Release,0.19,Inflation
bd2f7941-cf21-41c0-a3fa-5c500d3a961f,06/15/2026 06:00:00,Consumer Price Index (YoY),HIGH,SAR,Release,0.19,Inflation
d374dc99-69a3-47c4-a449-3bead338adc3,06/30/2026 16:00:00,M3 Money Supply (YoY),HIGH,SAR,Release,0.19,Inflation
c7423994-29d3-4727-9993-dcfbd7558ea3,06/30/2026 16:00:00,Private Sector Loans (YoY),LOW,SAR,Release,0.09,Money and Credit
52666e07-5dbb-4c3d-be6e-67ed37ace36e,07/05/2026 04:15:00,Riyad Bank PMI,MEDIUM,SAR,Release,0.14,Confidence
432b27a6-58ed-45b1-95aa-071f2fccb3d2,07/15/2026 06:00:00,Consumer Price Index (MoM),HIGH,SAR,Release,0.19,Inflation
40435f15-a1c3-4cfb-b5fb-e3f950beda61,07/15/2026 06:00:00,Consumer Price Index (YoY),HIGH,SAR,Release,0.19,Inflation
9ce6d7b2-ba63-4437-b793-2eba548eefc5,07/31/2026 06:00:00,Gross Domestic Product (YoY),HIGH,SAR,Release,0.17,Growth
ae894bd2-44df-4722-85fe-57a8713161f4,07/31/2026 16:00:00,M3 Money Supply (YoY),HIGH,SAR,Release,0.19,Inflation
afa6b7ff-22b8-4879-abe2-55f53b65b540,07/31/2026 16:00:00,Private Sector Loans (YoY),LOW,SAR,Release,0.09,Money and Credit
56c5dd70-9557-42a9-a05e-f2abca36a989,08/04/2026 04:15:00,Riyad Bank PMI,MEDIUM,SAR,Release,0.14,Confidence
8288021c-ebb8-4f21-a50f-357dd61866da,08/16/2026 06:00:00,Consumer Price Index (MoM),HIGH,SAR,Release,0.19,Inflation
916d8acc-8cd5-4f76-ac8d-05900e30b78d,08/16/2026 06:00:00,Consumer Price Index (YoY),HIGH,SAR,Release,0.19,Inflation
076fbc80-8c16-4a0b-a766-554c9b57e99f,08/31/2026 16:00:00,M3 Money Supply (YoY),HIGH,SAR,Release,0.19,Inflation
0b09f76a-328f-484a-9679-459ee83f86d3,08/31/2026 16:00:00,Private Sector Loans (YoY),LOW,SAR,Release,0.09,Money and Credit
70d1d66c-73e3-4a4b-8dfa-81fda5779563,09/03/2026 04:15:00,Riyad Bank PMI,MEDIUM,SAR,Release,0.14,Confidence
5fd9594e-b029-432a-8929-117c220ead0f,09/07/2026 06:00:00,Gross Domestic Product (YoY),HIGH,SAR,Release,0.17,Growth
