Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
29893517-7d9b-4d79-ae17-57c18ff528e7,12/31/2025 06:00:00,M3 Money Supply (YoY),HIGH,ZAR,Release,0.19,Inflation
1edf27b6-adf7-4880-a261-08f501408e34,12/31/2025 06:00:00,Private Sector Credit,LOW,ZAR,Release,0.09,Money and Credit
3b5abaf7-9bad-4ed3-b19c-4cb8fc917190,12/31/2025 12:00:00,Trade Balance (in Rands),MEDIUM,ZAR,Release,0.11,Trade and External
a67e373c-7501-41c5-b6e7-286e601db01d,01/08/2026 06:00:00,Gross $Gold & Forex Reserve ,HIGH,ZAR,Release,0.2,Monetary Policy
4ef429e6-9f6f-4683-8c53-b408d104a6f5,01/08/2026 06:00:00,Net $Gold & Forex Reserve,LOW,ZAR,Release,0.09,Money and Credit
422a30ba-ef37-43f4-9115-d72cb40b321a,01/08/2026 11:00:00,Manufacturing Production Index (YoY),HIGH,ZAR,Release,0.17,Growth
1881619d-100a-473a-855c-41112c671780,01/08/2026 12:00:00,Total New Vehicle Sales,LOW,ZAR,Release,0.07,Housing
81cd4969-f4d0-4f1e-8f8a-bada11d98c16,01/21/2026 08:00:00,Consumer Price Index (MoM),HIGH,ZAR,Release,0.19,Inflation
160e21de-36d1-4ebc-80d9-7e35a627089b,01/21/2026 08:00:00,Consumer Price Index (YoY),HIGH,ZAR,Release,0.19,Inflation
5fcfd94e-503f-4b5b-a41e-8aa00c532d17,01/21/2026 11:00:00,Retail Sales (YoY),HIGH,ZAR,Release,0.17,Growth
877c6783-37f7-4ea2-9728-f25a16768aa6,01/21/2026 13:00:00,SARB Interest Rate Decision,HIGH,ZAR,Release,0.2,Monetary Policy
9832a59e-ea81-4320-9ff5-7ade0082f043,01/29/2026 09:30:00,Producer Price Index (MoM),HIGH,ZAR,Release,0.19,Inflation
1e57263c-b109-4c54-9bfa-e717143fd3f7,01/29/2026 09:30:00,Producer Price Index (YoY),HIGH,ZAR,Release,0.19,Inflation
d8a4b728-0dba-425c-8512-31c6d6fc2b23,01/30/2026 06:00:00,M3 Money Supply (YoY),HIGH,ZAR,Release,0.19,Inflation
5f256df3-3254-4d55-8176-75d6510458e3,01/30/2026 06:00:00,Private Sector Credit,LOW,ZAR,Release,0.09,Money and Credit
d2e8d04b-5f48-4f36-8405-83c81a74b2f9,01/30/2026 12:00:00,Trade Balance (in Rands),MEDIUM,ZAR,Release,0.11,Trade and External
