Id,Start,Name,Impact,Currency
41e59ea2-4734-43d0-a3c6-354f440c45e3,11/02/2025 22:00:00,S&P Global Manufacturing PMI,LOW,AUD
9354ab03-9960-4366-8aec-9af8937c81f5,11/03/2025 00:00:00,TD-MI Inflation Gauge (MoM),LOW,AUD
1655cc48-4d63-4d7d-b28a-a99301241608,11/03/2025 00:00:00,TD-MI Inflation Gauge (YoY),MEDIUM,AUD
08f0a180-59bc-46bb-946c-28d2a020f193,11/03/2025 00:30:00,ANZ Job Advertisements,LOW,AUD
6d986ea7-ee30-4b7f-98c7-9357c0237734,11/03/2025 00:30:00,Building Permits (MoM),MEDIUM,AUD
8e5901cc-f502-4bd7-92aa-60afcd0271c2,11/03/2025 00:30:00,Building Permits (YoY),LOW,AUD
8d06458d-43bb-41f0-aa98-068dcc91af2f,11/03/2025 05:30:00,RBA Commodity Index SDR (YoY),LOW,AUD
cdac6f83-655b-4f8d-91ee-f2e777e452f9,11/03/2025 19:30:00,CFTC AUD NC Net Positions,LOW,AUD
e2d1831a-5b8c-452c-9129-c3f03a41c98b,11/04/2025 03:30:00,RBA Interest Rate Decision,HIGH,AUD
b27974df-7182-49a3-9594-a108812b5992,11/04/2025 03:30:00,RBA Monetary Policy Statement,HIGH,AUD
009cab3e-23a4-49ea-8f67-2dc5bdf6dbbd,11/04/2025 03:30:00,RBA Rate Statement,HIGH,AUD
444a5444-bd19-49a7-9c79-99a0acd0c0af,11/04/2025 04:30:00,RBA Press Conference,HIGH,AUD
4ba98c4d-0f37-45a3-9c0e-1790b45e44b4,11/04/2025 22:00:00,Ai Group Construction PMI,LOW,AUD
46aa8c20-461b-49db-aba4-be289b585b84,11/04/2025 22:00:00,Ai Group Manufacturing PMI,LOW,AUD
15c81ee9-f7a0-46e9-be32-3d09646b4fa3,11/04/2025 22:00:00,AiG Industry Index,MEDIUM,AUD
fd4c8f3d-55bf-4eb4-9483-bc784a701831,11/04/2025 22:00:00,S&P Global Composite PMI,MEDIUM,AUD
320d074f-0792-4a2b-b0bd-4d0eb5955720,11/04/2025 22:00:00,S&P Global Services PMI,MEDIUM,AUD
7ce176ce-b81a-4cc1-aee2-20ccfc69a5ba,11/06/2025 00:30:00,Exports (MoM),MEDIUM,AUD
04ff3456-cd3e-4b0c-83c4-d2761e2bbd9a,11/06/2025 00:30:00,Imports (MoM),MEDIUM,AUD
634ea50b-19a7-4895-9741-82b9da2833e9,11/06/2025 00:30:00,Trade Balance (MoM),HIGH,AUD
521e73d7-8ed0-4b9e-85d5-ad158fa70e4f,11/07/2025 20:30:00,CFTC AUD NC Net Positions,LOW,AUD
