Id,Start,Name,Impact,Currency
4a3b7908-e436-4055-9996-5f41c84d7cef,02/06/2026 08:00:00,Wholesale Prices n.s.a (MoM),LOW,EUR
5405d43d-9c9f-416f-92c0-358d6fd483b5,02/06/2026 08:00:00,Wholesale Prices n.s.a (YoY),LOW,EUR
e5243bb2-13c3-4f17-9b06-12fda2fcf59b,02/10/2026 08:00:00,Industrial Production (YoY),LOW,EUR
a16ec8e4-e3db-4249-8694-fa26e02fee37,02/25/2026 08:00:00,HICP (MoM),LOW,EUR
1c06d8b0-f748-4aa1-a1cb-36e8b04711a4,02/25/2026 08:00:00,HICP (YoY),LOW,EUR
0d8eea64-2cd2-4e57-abf4-238471274ed5,02/25/2026 09:00:00,UniCredit Bank Manufacturing PMI,LOW,EUR
2f6c8317-b6db-404e-b1d6-1722d06c596a,02/27/2026 08:00:00,Producer Price Index (MoM),LOW,EUR
9923c942-4026-497f-8802-fdfbccd7a1e2,02/27/2026 08:00:00,Producer Price Index (YoY),LOW,EUR
1bd219c2-a7ea-4c1f-8558-5e3254cf7345,03/02/2026 08:00:00,Unemployment,LOW,EUR
bb75da06-1544-479a-8934-ce296144e2dc,03/02/2026 08:00:00,Unemployment Rate,LOW,EUR
1c5d6df0-cc11-4c30-bad9-eb547bd30a05,03/05/2026 08:00:00,Gross Domestic Product (QoQ),LOW,EUR
94d63861-43f8-40b4-a216-3251ae5638aa,03/06/2026 08:00:00,Wholesale Prices n.s.a (MoM),LOW,EUR
054f2956-9611-4d56-b874-db92c0cb6c5b,03/06/2026 08:00:00,Wholesale Prices n.s.a (YoY),LOW,EUR
b52ffae4-948a-4ef7-9716-526a8b900e9f,03/09/2026 08:00:00,Trade Balance,LOW,EUR
19a758cc-70b3-498a-b2be-2b9521f760e2,03/10/2026 08:00:00,Industrial Production (YoY),LOW,EUR
677d5d01-55f9-4372-bf41-1375b2e0b2fc,03/18/2026 08:00:00,HICP (MoM),LOW,EUR
d950fe86-8b67-455e-ac5b-54d676c11f43,03/18/2026 08:00:00,HICP (YoY),LOW,EUR
5bfb7313-c9c6-4d1c-aad5-cd5def4d4ae2,03/27/2026 09:00:00,UniCredit Bank Manufacturing PMI,LOW,EUR
62824b9c-9f38-4134-848f-35b8c5a5b5ca,03/30/2026 07:00:00,Producer Price Index (MoM),LOW,EUR
38cd8d10-717a-4bea-86ec-d6138dcdc463,03/30/2026 07:00:00,Producer Price Index (YoY),LOW,EUR
b69a42bd-738e-4446-b98f-8bd150588bef,04/01/2026 07:00:00,Unemployment,LOW,EUR
903a7765-0516-4b04-ac55-f51d63d4a45f,04/01/2026 07:00:00,Unemployment Rate,LOW,EUR
2c4ac4d4-3459-4482-9c33-c63b93089a7b,04/07/2026 07:00:00,Wholesale Prices n.s.a (MoM),LOW,EUR
452d16b6-c438-44c0-b490-9af693f1fb19,04/07/2026 07:00:00,Wholesale Prices n.s.a (YoY),LOW,EUR
1ddb63f0-837b-4a53-aa2f-0cbc8f346654,04/09/2026 07:00:00,Trade Balance,LOW,EUR
513f4c84-eedb-41f5-925e-373e1c460c82,04/10/2026 07:00:00,Industrial Production (YoY),LOW,EUR
c729d417-2588-4ea5-8b37-f1cfbb37f590,04/16/2026 07:00:00,HICP (MoM),LOW,EUR
6b858d7d-c61a-4789-8796-8366af61e6a2,04/16/2026 07:00:00,HICP (YoY),LOW,EUR
df92aa05-ec85-4bff-b044-2959535a7d85,04/28/2026 08:00:00,UniCredit Bank Manufacturing PMI,LOW,EUR
1ffdc443-e73e-4d0a-97ef-2b9850a268df,04/30/2026 07:00:00,Gross Domestic Product (QoQ),LOW,EUR
b07961cc-ea28-45c9-87f3-74c2c587dc92,04/30/2026 07:00:00,Producer Price Index (MoM),LOW,EUR
5bb89a9a-7c2b-422a-83bb-f3e91c235668,04/30/2026 07:00:00,Producer Price Index (YoY),LOW,EUR
eb3cf86e-423d-4678-bf72-f21449b6fd2d,05/01/2026 07:00:00,Unemployment,LOW,EUR
f4604834-c089-48cb-8595-6ca224d86dfe,05/01/2026 07:00:00,Unemployment Rate,LOW,EUR
19f76ca8-688c-40d7-a9e0-9b80c4867edb,05/07/2026 07:00:00,Trade Balance,LOW,EUR
f170e6db-4879-483b-aae2-a595e7077967,05/07/2026 07:00:00,Wholesale Prices n.s.a (MoM),LOW,EUR
5dc6e752-233b-4bae-b211-be29da4ce328,05/07/2026 07:00:00,Wholesale Prices n.s.a (YoY),LOW,EUR
65820d34-8cf3-40b7-8f0e-42bb8c607bc9,05/08/2026 07:00:00,Industrial Production (YoY),LOW,EUR
cb0c8b15-a670-409f-b186-f20096a3d402,05/20/2026 07:00:00,HICP (MoM),LOW,EUR
ac25e060-9724-4d50-99a7-1b08296a3089,05/20/2026 07:00:00,HICP (YoY),LOW,EUR
8f01f73f-34b7-4eb5-be7c-df68f27e7b60,05/27/2026 08:00:00,UniCredit Bank Manufacturing PMI,LOW,EUR
9be6240d-bd48-4e79-af4e-0e4ad82a69fa,05/29/2026 07:00:00,Producer Price Index (MoM),LOW,EUR
8d7c9f85-6442-4456-a783-b8463f757ec8,05/29/2026 07:00:00,Producer Price Index (YoY),LOW,EUR
8448a1a5-07c7-46c4-9c0b-dbd14c614706,06/01/2026 07:00:00,Unemployment,LOW,EUR
355b71f7-b380-406c-96b5-0f367830fb2d,06/01/2026 07:00:00,Unemployment Rate,LOW,EUR
89bc7651-0e6e-41f9-bea7-17545b76ceed,06/05/2026 07:00:00,Gross Domestic Product (QoQ),LOW,EUR
1509e8de-a102-4dcd-aa77-22ab18f0fe7c,06/05/2026 07:00:00,Wholesale Prices n.s.a (MoM),LOW,EUR
