Id,Start,Name,Impact,Currency
186c2684-cf79-4086-a98b-39aa81f1030e,02/23/2026 14:00:00,Leading Indicator,LOW,EUR
f3583397-be0f-4881-a771-3601f5ea9906,02/26/2026 10:30:00,Consumer Price Index (MoM),LOW,EUR
524b6619-af96-4c12-84f1-2493f3fdeb45,02/26/2026 10:30:00,Consumer Price Index (YoY),LOW,EUR
52a9b5a9-bdf9-453c-8c00-238b264fc3dc,02/27/2026 10:00:00,Gross Domestic Product (QoQ),LOW,EUR
23491bf6-5882-4e0f-b3b4-06b8964957ee,03/23/2026 10:00:00,Consumer Confidence Index,LOW,EUR
dd8ae420-f304-4b5e-b3ba-a3559ab1ad64,03/25/2026 14:00:00,Leading Indicator,LOW,EUR
3cd7f9f4-704a-4cc4-8c61-ec88719c4e61,03/30/2026 09:30:00,Consumer Price Index (MoM),LOW,EUR
466f4a96-46ed-464d-9203-6271f19c364b,03/30/2026 09:30:00,Consumer Price Index (YoY),LOW,EUR
3d9ca0f4-c781-4ac8-8718-5e7157b592b9,04/22/2026 09:00:00,Consumer Confidence Index,LOW,EUR
e3889d69-7f1e-4160-9821-b7a56b7abbe5,04/24/2026 13:00:00,Leading Indicator,LOW,EUR
c5a19463-139f-445c-a083-a180e2905c7e,04/29/2026 09:00:00,Gross Domestic Product (QoQ),LOW,EUR
bc874208-2daa-4d28-9d5a-26a699a0314f,04/29/2026 09:30:00,Consumer Price Index (MoM),LOW,EUR
04c734d6-33bc-4720-84bc-cb289ec0d629,04/29/2026 09:30:00,Consumer Price Index (YoY),LOW,EUR
7e1fc0bc-6e72-4033-b954-c3036ec29caf,05/20/2026 09:00:00,Consumer Confidence Index,LOW,EUR
87367cd9-3216-40c8-a70d-fc4f5b9d8b81,05/22/2026 13:00:00,Leading Indicator,LOW,EUR
f0fa4e0a-96ca-453c-afad-a38a1376039f,05/28/2026 09:30:00,Consumer Price Index (MoM),LOW,EUR
da807c6c-5567-4e43-a917-83975be20acc,05/28/2026 09:30:00,Consumer Price Index (YoY),LOW,EUR
8fcacd47-45dc-4dc6-950e-a6cf5ae29592,05/29/2026 09:00:00,Gross Domestic Product (QoQ),LOW,EUR
890e298f-fde5-4365-86c0-69abafcb16ed,06/24/2026 09:00:00,Consumer Confidence Index,LOW,EUR
1ecb9e23-918d-462d-8fc7-4de34f1f04eb,06/24/2026 13:00:00,Leading Indicator,LOW,EUR
6241589c-ef15-4063-800e-ca89d11b730f,06/29/2026 09:30:00,Consumer Price Index (MoM),LOW,EUR
2fa4be75-113a-4323-994a-819e8f7cd7f0,06/29/2026 09:30:00,Consumer Price Index (YoY),LOW,EUR
22d2e7a6-4555-4d3f-a958-268c55dd3962,07/22/2026 09:00:00,Consumer Confidence Index,LOW,EUR
3a53a3a9-dcbb-4554-a656-1f7666aa17d1,07/24/2026 13:00:00,Leading Indicator,LOW,EUR
a076286a-7be6-451b-a355-373807a89ef9,07/29/2026 09:00:00,Gross Domestic Product (QoQ),LOW,EUR
0e5bb3c5-0b9e-44f5-b456-16e66ed2af59,07/30/2026 09:30:00,Consumer Price Index (MoM),LOW,EUR
4d9a1746-df60-402c-9075-1c85693eb7f1,07/30/2026 09:30:00,Consumer Price Index (YoY),LOW,EUR
4a89d60b-ff32-450a-acc8-0204d68a989b,08/21/2026 09:00:00,Consumer Confidence Index,LOW,EUR
cc8bcbcf-1c2a-4a0c-a7f9-d45b299265a1,08/25/2026 13:00:00,Leading Indicator,LOW,EUR
1b58259c-73e3-44ce-be85-02c57bb3bf7f,08/28/2026 09:30:00,Consumer Price Index (MoM),LOW,EUR
4a4e96d6-0511-49fc-8005-430c5564b2e9,08/28/2026 09:30:00,Consumer Price Index (YoY),LOW,EUR
5022e477-341c-4eba-bfa0-80f93d3df4d7,08/31/2026 09:00:00,Gross Domestic Product (QoQ),LOW,EUR
f728714a-e96e-485f-9dfd-424acb06ffc4,09/22/2026 09:00:00,Consumer Confidence Index,LOW,EUR
9b4aa88b-4a99-400b-8710-9381c12ca84a,09/24/2026 13:00:00,Leading Indicator,LOW,EUR
67997e84-8eb6-4a7c-810b-2c366067eb0b,09/29/2026 09:30:00,Consumer Price Index (MoM),LOW,EUR
c167091c-256c-4b10-b5d1-63a502995362,09/29/2026 09:30:00,Consumer Price Index (YoY),LOW,EUR
