Id,Start,Name,Impact,Currency
29e373bb-848d-49b6-816b-bb87170cd90a,12/19/2025 18:00:00,Interest rate,LOW,COP
c80e1109-6f6d-45d4-a4ae-da5426ec0279,12/23/2025 15:00:00,Trade Balance,LOW,COP
c5624fad-0876-4697-9885-6d65c890a5d2,12/31/2025 15:00:00,National Jobless Rate,LOW,COP
a97117c7-246c-4d42-aee7-a083e5c597e1,01/08/2026 23:00:00,Consumer Price Index (MoM),LOW,COP
b02e7c9b-57fe-4c70-9ff0-2903375546d5,01/08/2026 23:00:00,Consumer Price Index (YoY),LOW,COP
5f988925-3e8e-400f-b3cb-a529aa72a1ae,01/14/2026 15:00:00,Retail Sales (YoY),LOW,COP
4d2827ff-dc13-4bc1-b026-d7235d2b6b46,01/15/2026 15:00:00,Industrial output (YoY),LOW,COP
ab3f0d30-f178-477d-a564-f83aeb4b6cb8,01/15/2026 15:00:00,Trade Balance,LOW,COP
d5a16d3d-6242-40a4-9fae-ae6b8675cd5c,01/30/2026 15:00:00,National Jobless Rate,LOW,COP
f8163dd0-7677-4b78-9618-1ecf818de909,02/16/2026 16:00:00,Gross Domestic Product (YoY),LOW,COP
