Id,Start,Name,Impact,Currency
79b361a2-da88-41a3-8362-ab19da8786d5,08/09/2026 06:00:00,Consumer Price Index (YoY),LOW,EGP
e93716cc-5d1f-432f-8ad3-ce9fd4ec70db,08/09/2026 06:00:00,Core Consumer Price Index (YoY),LOW,EGP
54581f25-f0b5-4572-8029-345c83f95412,08/20/2026 17:00:00,CBE Interest Rate Decision,LOW,EGP
b880442a-8840-4ef1-b80d-d30457b6c082,08/20/2026 17:00:00,Overnight Lending Rate,LOW,EGP
edfc13b4-993c-434d-b09e-7ef0137d604c,09/10/2026 06:00:00,Consumer Price Index (YoY),LOW,EGP
5b3fa73e-46d4-447d-bf16-fef852af454e,09/10/2026 06:00:00,Core Consumer Price Index (YoY),LOW,EGP
0dab817d-dc48-4d59-8b36-2444082a56f3,09/24/2026 17:00:00,CBE Interest Rate Decision,LOW,EGP
4e243694-c332-4e5e-8b5a-90c44fd9213f,09/24/2026 17:00:00,Overnight Lending Rate,LOW,EGP
2cfd1171-235e-44ca-b0bd-ea94b6b7a3ee,10/11/2026 06:00:00,Consumer Price Index (YoY),LOW,EGP
166df1e4-7a47-4426-8615-294d22ecd45a,10/11/2026 06:00:00,Core Consumer Price Index (YoY),LOW,EGP
6bbad2ee-d284-4a6b-8e46-c5d4d200633a,10/29/2026 17:00:00,CBE Interest Rate Decision,LOW,EGP
ea4eccdb-ca93-40d7-905e-6cee3b5a0381,10/29/2026 17:00:00,Overnight Lending Rate,LOW,EGP
e7ba8166-837e-478e-ae1b-bccf30b6e7e8,11/10/2026 06:00:00,Consumer Price Index (YoY),LOW,EGP
62d48dbb-b7b4-40a0-966e-0d7e3c13bea9,11/10/2026 06:00:00,Core Consumer Price Index (YoY),LOW,EGP
04157242-e370-422e-8a99-d408515d761b,12/10/2026 06:00:00,Consumer Price Index (YoY),LOW,EGP
7eb3b1e8-d494-43c1-91a6-329d8f764b5e,12/10/2026 06:00:00,Core Consumer Price Index (YoY),LOW,EGP
ed5386a3-6d13-4285-af8f-b01a830849ba,12/17/2026 17:00:00,CBE Interest Rate Decision,LOW,EGP
7301cc9b-1adc-4637-9315-f454d8f8796e,12/17/2026 17:00:00,Overnight Lending Rate,LOW,EGP
e96809fa-10db-4379-bc76-1b13723d87b6,01/10/2027 06:00:00,Consumer Price Index (YoY),LOW,EGP
e2ecbcae-00a7-4531-bf61-c2bb316df8ca,01/10/2027 06:00:00,Core Consumer Price Index (YoY),LOW,EGP
