Id,Start,Name,Impact,Currency
f34f2edb-26a7-4fee-aee7-00054632674a,01/02/2026 08:00:00,Unemployment Change,LOW,EUR
b2e8adc2-32dc-4a9b-bfc7-63be30f5e8dd,01/02/2026 08:15:00,HCOB Manufacturing PMI,MEDIUM,EUR
a4c276de-1e30-4826-a6fd-8eb0f6490a62,01/06/2026 08:15:00,HCOB Services PMI,MEDIUM,EUR
b7bdf562-9bae-449b-98ef-c7d528497c5d,01/08/2026 09:40:00,10-y Obligaciones Auction,LOW,EUR
f6a0a2f9-092c-4a1c-845b-719ab5c42a6e,01/08/2026 09:40:00,3-y Bond Auction,LOW,EUR
ab346f71-758b-40dc-8578-f2e02b6e92d1,01/08/2026 09:40:00,5-y Bond Auction,LOW,EUR
6c6b7310-f694-4ad5-97a3-d43168530b0a,01/09/2026 08:00:00,Industrial Output Cal Adjusted (YoY),LOW,EUR
ac5df479-d46e-4116-a34c-256ada382906,01/15/2026 08:00:00,Consumer Price Index (MoM),LOW,EUR
10007b40-75dc-49a3-bdcb-82c673f25ce6,01/15/2026 08:00:00,Consumer Price Index (YoY),LOW,EUR
4e3cb366-d932-4e1e-9e1f-cc8a64fe97fe,01/15/2026 08:00:00,Harmonized Index of Consumer Prices (MoM),LOW,EUR
ac5b39c7-ce53-46eb-bff2-d1c1fb2c6f68,01/15/2026 08:00:00,Harmonized Index of Consumer Prices (YoY),MEDIUM,EUR
3f95907c-9e5f-434a-b3cd-f22a48c046ed,01/27/2026 08:00:00,Unemployment Survey,LOW,EUR
0e8c5df7-4b82-4901-859c-69b13e132365,01/29/2026 08:00:00,Retail Sales (YoY),LOW,EUR
520a1b3b-ca36-4d48-ab47-4a066746ea3a,01/30/2026 08:00:00,Consumer Price Index (MoM),LOW,EUR
248f756e-c5f3-4de3-ba10-ca62465dda4c,01/30/2026 08:00:00,Consumer Price Index (YoY),LOW,EUR
ca918273-3c80-40cf-9127-739de9862e19,01/30/2026 08:00:00,Gross Domestic Product - Estimated (QoQ),MEDIUM,EUR
422eeba4-0f12-4750-8eca-adff5bc68d2b,01/30/2026 08:00:00,Gross Domestic Product - Estimated (YoY),LOW,EUR
661865b2-4804-4642-acac-74710eb84c6d,01/30/2026 08:00:00,Harmonized Index of Consumer Prices (MoM),LOW,EUR
c267b205-1aaf-4518-97b0-8f97913fee74,01/30/2026 08:00:00,Harmonized Index of Consumer Prices (YoY),MEDIUM,EUR
73900133-1a0e-4e57-bbd2-518e41209567,01/30/2026 09:00:00,Current Account Balance,LOW,EUR
