Id,Start,Name,Impact,Currency
f975ca69-5791-40cb-afcb-cdc193a91811,12/02/2025 07:30:00,Gross Domestic Product (YoY),LOW,HUF
f824156f-6198-4e19-a630-b301ffdecfdb,12/04/2025 07:30:00,Retail Sales (YoY),LOW,HUF
df6ca927-61ac-45e5-ad0a-c749ba4675f2,12/05/2025 07:30:00,Industrial Output (YoY),LOW,HUF
37e0213d-2a51-4ec8-9a08-3b9a280d1c87,12/09/2025 07:30:00,Consumer Price Index (YoY),LOW,HUF
1d676274-005d-405e-9e3b-b7fd85fccdf2,12/09/2025 07:30:00,Core Consumer Price Index (YoY),LOW,HUF
c4370288-2f50-47ac-854e-457414c6e956,12/09/2025 10:00:00,Budget Balance,LOW,HUF
fa010834-2380-415b-b40e-ba72b2971e8b,12/12/2025 07:30:00,Industrial Output (YoY),LOW,HUF
29da3f38-600b-4714-a7b9-95563fab6d3d,12/19/2025 07:30:00,Gross Wages (YoY),LOW,HUF
d25a04a7-d19c-4127-9d39-3f4470ee45bf,12/22/2025 07:30:00,Current Account Balance (QoQ),LOW,HUF
4d8f3dba-1d25-4d08-b53e-f6bfb9766199,12/23/2025 13:00:00,MNB Interest Rate Decision,LOW,HUF
99fe202a-af45-47fb-84ad-b6fdf7ccc8d8,12/30/2025 07:30:00,Producer Price Index (YoY),LOW,HUF
65cc9a11-5d28-43cf-81ba-a6e8e1d89e9f,12/31/2025 07:30:00,Producer Price Index (YoY),LOW,HUF
83527ff1-07e9-4c9a-ad1a-68b84ed76727,01/02/2026 08:00:00,HALPIM Manufacturing PMI,LOW,HUF
a36f9688-4d8c-4280-a20e-039512ddf30c,01/06/2026 07:30:00,Unemployment Rate (3M),LOW,HUF
85c878b3-17df-4089-bf29-c527a1c1742e,01/07/2026 07:30:00,Retail Sales (YoY),LOW,HUF
9002f736-1724-46d7-bfd5-8d343f84e229,01/08/2026 07:30:00,Consumer Price Index (YoY),LOW,HUF
9f773003-5791-42b2-a181-9ba22dd84b51,01/08/2026 07:30:00,Core Consumer Price Index (YoY),LOW,HUF
271c3b7f-7f89-4519-9641-08e07d25001c,01/09/2026 10:00:00,Budget Balance,LOW,HUF
2d6c42a9-1b2c-4dd9-afdc-ff9ba293ebc1,01/23/2026 07:30:00,Gross Wages (YoY),LOW,HUF
71a8b6cd-1f61-49c8-aa75-0f4862bf0150,01/23/2026 07:30:00,Unemployment Rate (3M),LOW,HUF
e9ece1cb-48db-4615-8367-abe3d8087628,01/30/2026 07:30:00,Trade Balance,LOW,HUF
5fe614f5-da11-48ad-9d61-c817ddea4e16,02/10/2026 07:30:00,Gross Domestic Product (YoY),LOW,HUF
f24348bd-28de-44c8-8873-467af16ca828,03/25/2026 07:30:00,Current Account Balance (QoQ),LOW,HUF
