Id,Start,Name,Impact,Currency
2e5db5e0-6717-48df-a296-8e808ad1eedc,01/02/2026 00:30:00,S&P Global Manufacturing PMI,LOW,IDR
35ea6e45-9c48-4452-83f0-7c3ffc51fb0e,01/07/2026 03:00:00,Foreign Reserves,LOW,IDR
44f43518-3394-477b-9338-d2d7619f1195,01/09/2026 03:00:00,Consumer Confidence,MEDIUM,IDR
d9e38f32-79e8-449f-bc8e-8474bd773f9b,01/09/2026 03:00:00,Retail Sales (YoY),LOW,IDR
f189412f-f7bb-43c4-99a4-823a5e37e200,01/21/2026 07:30:00,Bank Indonesia Rate,LOW,IDR
35b378b7-82d0-4c1c-a8b3-cc28bd95c7d9,02/02/2026 00:30:00,S&P Global Manufacturing PMI,LOW,IDR
04c3e834-5062-4159-ac66-10e93be95d25,02/02/2026 04:00:00,Core Inflation (YoY),LOW,IDR
382998a6-86c9-49dd-9a95-4113c2e21609,02/02/2026 04:00:00,Exports,LOW,IDR
bfd5a5fb-3615-49d2-9bad-7ab6781debac,02/02/2026 04:00:00,Exports,LOW,IDR
b08e8266-4075-4e0c-a3ce-f18e1a823c98,02/02/2026 04:00:00,Imports,LOW,IDR
30edc0d3-8d0d-41eb-87e2-5b24166789ae,02/02/2026 04:00:00,Imports,LOW,IDR
b4b8a2f4-bc24-4c29-89cc-61328ea7d8bf,02/02/2026 04:00:00,Inflation (MoM),LOW,IDR
17bbc0df-16cc-4972-8943-8fcb2030c3c5,02/02/2026 04:00:00,Inflation (YoY),LOW,IDR
9368ba06-a35a-4e5b-b160-f7ae30aa958e,02/02/2026 04:00:00,Trade Balance,LOW,IDR
0bd73325-9aa7-49b0-95cb-6de2ebe18d19,02/02/2026 04:00:00,Trade Balance,LOW,IDR
fcb62018-8009-40c0-8d41-fca0a8775744,02/05/2026 04:00:00,Gross Domestic Product (QoQ),LOW,IDR
f512ad9a-b7a2-4421-bdce-9c8411bde564,02/05/2026 04:00:00,Gross Domestic Product (YoY),LOW,IDR
3707982f-9404-43da-bcf5-3a95d7b04b49,02/09/2026 03:00:00,Retail Sales (YoY),LOW,IDR
fc776937-e0ee-4fc9-87ec-d64a736c5c5b,02/10/2026 03:00:00,Consumer Confidence,MEDIUM,IDR
d695750b-4ea8-4fb6-a1c5-c1565cb5d5fe,02/10/2026 03:00:00,Foreign Reserves,LOW,IDR
21f169ec-5fb3-41cc-8000-d4fba7885fae,02/18/2026 07:30:00,Bank Indonesia Rate,LOW,IDR
