Id,Start,Name,Impact,Currency
29effec6-9e3d-49df-a51a-655999d6429c,12/30/2025 11:30:00,M3 Money Supply,LOW,INR
e9018d10-c648-4ebb-8cb6-b50f3d39911b,12/30/2025 11:30:00,Trade Deficit – RBI,LOW,INR
b19c1f31-e814-4a40-84d0-8e22ccec6bf0,12/31/2025 10:00:00,"Federal Fiscal Deficit, INR",LOW,INR
68f95731-b51f-4fe2-aab5-41de4c2bee4d,12/31/2025 11:30:00,Infrastructure Output (YoY),LOW,INR
caf61127-35f6-4bb4-86b2-d5aea30bea09,01/02/2026 05:00:00,HSBC Manufacturing PMI,MEDIUM,INR
30facd4f-6f98-4ddf-81e6-454fdb4f98f9,01/02/2026 11:30:00,"FX Reserves, USD",LOW,INR
d1c6a88b-ba3c-48ea-868d-e6d00f8272d8,01/06/2026 05:00:00,HSBC Composite PMI,MEDIUM,INR
84bdc6c1-77c2-4760-b13b-70632fbdc0cd,01/06/2026 05:00:00,HSBC Services PMI,MEDIUM,INR
c93adee8-8e7c-405f-8eb6-ca19802c9685,01/07/2026 11:30:00,M3 Money Supply,LOW,INR
47242a29-573e-404d-823a-fa451147642e,01/09/2026 11:30:00,Bank Loan Growth,LOW,INR
3e47ae56-778f-464d-aa38-6fe8f24c5164,01/09/2026 11:30:00,"FX Reserves, USD",LOW,INR
943ee444-180c-4caf-a838-ea14046d316e,01/12/2026 10:30:00,Consumer Price Index (YoY),LOW,INR
426d2cfb-0cea-4763-93d4-60ee84e21f3f,01/14/2026 06:30:00,WPI Inflation,LOW,INR
825603a5-c184-4a78-9795-0ff4f48743e9,01/15/2026 11:00:00,Trade Deficit Government,LOW,INR
ee0e1050-934a-4468-811d-b93dae2287c8,01/16/2026 11:30:00,"FX Reserves, USD",LOW,INR
8f5b0722-bb46-44ce-a400-c9b9fc759735,01/21/2026 11:30:00,M3 Money Supply,LOW,INR
cb5086d1-8b06-41a7-8f49-a9ef6ce0a8ae,01/23/2026 05:00:00,HSBC Composite PMI,MEDIUM,INR
edae79e8-0a16-4289-8e27-c1fd80d92166,01/23/2026 05:00:00,HSBC Manufacturing PMI,MEDIUM,INR
4d6b154c-5aef-4f55-bf34-b197cf1a7aee,01/23/2026 05:00:00,HSBC Services PMI,MEDIUM,INR
207fab33-8607-49e8-808d-01506b5c9331,01/23/2026 11:30:00,Bank Loan Growth,LOW,INR
8d4919ff-82e1-428b-9a0e-80819a23b289,01/23/2026 11:30:00,"FX Reserves, USD",LOW,INR
4b23ca7c-5edc-41c9-b0b8-88613fb298af,01/28/2026 11:30:00,Cumulative Industrial Output,LOW,INR
b45c9ede-6d0e-4b6e-b619-681347d0af6b,01/28/2026 11:30:00,Industrial Output,LOW,INR
760ade68-33d5-4ef5-8ab4-3a3066a41ba5,01/28/2026 11:30:00,Manufacturing Output,LOW,INR
3c2a4311-e80c-4112-bf80-929adceec2f5,01/30/2026 10:00:00,"Federal Fiscal Deficit, INR",LOW,INR
a54bc40f-a433-4dd7-88cc-2b7bab65d6de,01/30/2026 11:30:00,"FX Reserves, USD",LOW,INR
b8ce36dd-2000-4b8a-b8f8-ae0c08fa400e,01/30/2026 11:30:00,Infrastructure Output (YoY),LOW,INR
