Id,Start,Name,Impact,Currency
1fc9c74c-d36f-46f4-bfc1-a716c1fa53c2,10/30/2025 09:00:00,Consumer Price Index (MoM),LOW,ISK
60fb2a05-8e15-4897-a752-b79cffe2ab7a,10/30/2025 09:00:00,Consumer Price Index (YoY),LOW,ISK
87a4bf42-cd17-45b3-ac25-80ed97747751,11/19/2025 08:30:00,CBI Interest Rate Decision,LOW,ISK
b89edf23-65a1-468e-874a-87c2e1e5ba13,11/27/2025 09:00:00,Consumer Price Index (MoM),LOW,ISK
44d7135f-97c7-4d5a-9d50-bc70cf558c9f,11/27/2025 09:00:00,Consumer Price Index (YoY),LOW,ISK
27b97ac9-9a87-49bd-a6a8-b08d27fde6b4,11/28/2025 09:00:00,Gross Domestic Product (QoQ),LOW,ISK
545ed349-6650-4922-b555-36f8cc617649,11/28/2025 09:00:00,Gross Domestic Product (YoY),LOW,ISK
35d487ee-083e-4a00-801a-c1b8c26ae46b,12/22/2025 09:00:00,Consumer Price Index (MoM),LOW,ISK
9feb6ea3-2a15-4722-84cc-249c7ad9debb,12/22/2025 09:00:00,Consumer Price Index (YoY),LOW,ISK
83e7b15c-9857-49b9-8ab8-8f9b177f8b8a,12/24/2025 00:00:00,Christmas Eve,NONE,ISK
7af41df7-47f8-41ce-a255-9f70ee7b6b6e,12/25/2025 00:00:00,"Christmas Day ",NONE,ISK
15b0a1a5-84e5-496e-911a-7352bc96b333,12/26/2025 00:00:00,Boxing Day,NONE,ISK
d9e3afa6-1628-40b6-a927-866eecd1c9e3,12/26/2025 00:00:00,St Stephens Day,NONE,ISK
9937fbcb-41b3-46b3-a359-821c938f15e3,01/01/2026 00:00:00,New Year's Day,NONE,ISK
03161627-57ec-4465-8c5d-0390eaed6495,01/29/2026 09:00:00,Consumer Price Index (MoM),LOW,ISK
75d5ab08-1706-42dd-ba6e-c5f17995b393,01/29/2026 09:00:00,Consumer Price Index (YoY),LOW,ISK
ee03e846-9c91-4aca-a243-5a0637cbe04f,02/27/2026 09:00:00,Gross Domestic Product (QoQ),LOW,ISK
16bbdaa1-5b30-4cbc-bd9b-17ac3df4a432,02/27/2026 09:00:00,Gross Domestic Product (YoY),LOW,ISK
146e68fd-4c73-475b-b370-388465c8cd9a,04/02/2026 00:00:00,"Maundy Thursday ",NONE,ISK
f2283ec6-a19a-4c6c-86e5-6df4328e2f3c,04/03/2026 00:00:00,"Good Friday ",NONE,ISK
cb60b4a7-00de-4c69-9abd-b173d8392490,04/06/2026 00:00:00,"Easter Monday ",NONE,ISK
c3d9daeb-3201-4f07-afef-9a3a38d63451,04/23/2026 00:00:00,"First Day of Summer ",NONE,ISK
36d2288c-de1d-4e50-aabd-1f2b06f010c4,05/01/2026 00:00:00,"May Day ",NONE,ISK
621992fb-b38d-4e4b-b0ef-2996011d60fd,05/14/2026 00:00:00,"Ascension Day ",NONE,ISK
b8c35e7f-979d-4a94-b6a7-c12c113de07d,05/25/2026 00:00:00,"Whit monday ",NONE,ISK
2cb4f4c5-c4d0-462b-a9f5-510ee83c8dc6,06/17/2026 00:00:00,"Independence Day ",NONE,ISK
bedeca7b-d78d-45c9-aec4-8564260dd9d5,08/03/2026 00:00:00,"Commerce Day ",NONE,ISK
