Id,Start,Name,Impact,Currency
6105055d-f525-4bab-a590-a9ab4234cc43,12/31/2025 11:00:00,Consumer Price Index (MoM),LOW,EUR
0ee6d802-589f-478d-beec-0e64d7bcaee7,12/31/2025 11:00:00,Consumer Price Index (YoY),LOW,EUR
c6819eda-704a-493b-8fe5-7a9498e75256,01/02/2026 09:30:00,Business Confidence,LOW,EUR
98760493-a943-43e9-95c4-f48d2ac12886,01/02/2026 09:30:00,Consumer Confidence,LOW,EUR
d75239d2-013f-4f69-bef8-5d9457c9e168,01/09/2026 11:00:00,Global Trade Balance,LOW,EUR
87921ba3-28a5-424f-a0b9-28c3a95d23eb,01/13/2026 11:00:00,Consumer Price Index (MoM),LOW,EUR
b3dd4f54-2bbd-4922-95b8-7ac14ee476b4,01/13/2026 11:00:00,Consumer Price Index (YoY),LOW,EUR
c5af359a-650f-44d1-8cb8-13ea362b548a,01/19/2026 11:00:00,Current Account Balance,LOW,EUR
efdb2a85-ceda-4150-99ff-232ecf84146b,01/29/2026 09:30:00,Business Confidence,LOW,EUR
ceb1dc1b-ad98-40a2-b885-6876bb015fe5,01/29/2026 09:30:00,Consumer Confidence,LOW,EUR
b19f3b0f-f1ed-4748-8788-c77b382da883,01/30/2026 09:30:00,Gross Domestic Product (QoQ),LOW,EUR
70c9e222-21a9-4b60-85fc-083e8ed00b58,01/30/2026 09:30:00,Gross Domestic Product (YoY),LOW,EUR
6c006aac-a66f-41b8-abbb-f0bf25924606,01/30/2026 11:00:00,Consumer Price Index (MoM),LOW,EUR
0024d427-8b88-4fa3-8539-4c2deb9d425e,01/30/2026 11:00:00,Consumer Price Index (YoY),LOW,EUR
