Id,Start,Name,Impact,Currency
24b28ab2-17f6-422f-aa0c-ee339a0ec523,07/13/2026 14:00:00,Foreign Trade,LOW,RUB
b8bea7a5-d2dc-4cef-9f09-1ec7933fba4b,07/16/2026 13:00:00,Central Bank Reserves $,LOW,RUB
4609b404-574c-4734-b3e0-77f9f03753f7,07/17/2026 16:00:00,Producer Price Index (MoM),LOW,RUB
cdeb41db-4500-470a-b26a-c553b0aea868,07/17/2026 16:00:00,Producer Price Index (YoY),LOW,RUB
4079e1d6-ffbe-49a4-b988-19faee80d6b3,07/23/2026 13:00:00,Central Bank Reserves $,LOW,RUB
d39569ab-d2e0-42e4-b56c-6ee0e3179d05,07/23/2026 16:00:00,Industrial Output,LOW,RUB
d473c57c-ec30-4064-88e6-3ea98d9312e5,07/24/2026 10:30:00,Interest Rate Decision,MEDIUM,RUB
301c7b07-7616-4436-b450-afe148224690,07/29/2026 16:00:00,Unemployment Rate,LOW,RUB
9d4e90e4-e27d-4f8f-8f94-94e560a40c6c,07/30/2026 13:00:00,Central Bank Reserves $,LOW,RUB
f1c87882-29fb-44df-bc37-dee4194794df,08/03/2026 06:00:00,S&P Global Manufacturing PMI,LOW,RUB
a2a64531-72c8-488c-8388-d606ef2869fe,08/05/2026 06:00:00,S&P Global Services PMI,LOW,RUB
f7a86410-5a20-40fa-a051-7af1e9d061ce,08/06/2026 13:00:00,Central Bank Reserves $,LOW,RUB
f8ddda72-cf26-43fd-84ae-3b9e1ac9b79e,08/11/2026 14:00:00,Foreign Trade,LOW,RUB
614f5d24-e479-433b-9bb7-2737d9fd3f21,08/11/2026 16:00:00,Consumer Price Index (MoM),LOW,RUB
300b84fb-0ff9-4cb3-8e03-227d494927c9,08/13/2026 13:00:00,Central Bank Reserves $,LOW,RUB
d7d1d29d-254a-4e8e-892d-dfd05a289012,08/19/2026 16:00:00,Producer Price Index (MoM),LOW,RUB
38842416-7631-420f-8d88-980fce1f0638,08/19/2026 16:00:00,Producer Price Index (YoY),LOW,RUB
3bb910c6-22da-4fb5-884b-10593ff3d392,08/20/2026 13:00:00,Central Bank Reserves $,LOW,RUB
fbc95fb6-ded0-4488-804a-2f7a9fee0f0b,08/24/2026 16:00:00,Industrial Output,LOW,RUB
c6f08432-c1e3-4ace-9181-7acd4c4434dd,08/27/2026 13:00:00,Central Bank Reserves $,LOW,RUB
9d144cdd-5198-4753-a95d-f351c945b060,09/01/2026 06:00:00,S&P Global Manufacturing PMI,LOW,RUB
0861406d-1d02-47d4-8cf7-e4ab6d21b522,09/02/2026 16:00:00,Unemployment Rate,LOW,RUB
bf521d9f-8f84-414b-b422-1e0e5e647b85,09/03/2026 06:00:00,S&P Global Services PMI,LOW,RUB
4afb1634-c57d-445c-b0a3-e62cc3693d8a,09/03/2026 13:00:00,Central Bank Reserves $,LOW,RUB
e60dfd99-6a26-4c85-b392-00713120d8bd,09/10/2026 13:00:00,Central Bank Reserves $,LOW,RUB
179202b8-267f-48a7-961e-fde6649d284a,09/11/2026 10:30:00,Interest Rate Decision,MEDIUM,RUB
753f8379-ba44-4cdb-8974-b4c519099488,09/11/2026 14:00:00,Foreign Trade,LOW,RUB
87c0228f-8ff7-44ec-a176-13af54c5a516,09/11/2026 16:00:00,Consumer Price Index (MoM),LOW,RUB
fdf84925-203b-41f5-8b47-92a57fcdce5d,09/16/2026 16:00:00,Producer Price Index (MoM),LOW,RUB
8cea0c44-058b-404e-858b-13a89989507b,09/16/2026 16:00:00,Producer Price Index (YoY),LOW,RUB
7a7941b5-e734-4986-9249-43940222b1ef,09/17/2026 13:00:00,Central Bank Reserves $,LOW,RUB
eeda9779-c482-4851-a106-fd976be4cb7c,09/23/2026 16:00:00,Industrial Output,LOW,RUB
dbae4760-34b7-45eb-a5c9-877b8ec4fe14,09/24/2026 13:00:00,Central Bank Reserves $,LOW,RUB
d6478b18-bcd5-4120-a978-aed87c243669,09/30/2026 16:00:00,Unemployment Rate,LOW,RUB
be464f19-4a23-4ef5-b622-00dfb90565bf,10/01/2026 06:00:00,S&P Global Manufacturing PMI,LOW,RUB
e60de212-100b-4090-b57f-2ebefc58b480,10/01/2026 13:00:00,Central Bank Reserves $,LOW,RUB
d639b13b-fb94-4f4b-a12f-75afe756eac1,10/05/2026 06:00:00,S&P Global Services PMI,LOW,RUB
a64f630b-ce9f-4419-bfa8-8b1804abcb1f,10/08/2026 13:00:00,Central Bank Reserves $,LOW,RUB
12ad7084-21c0-4e0b-89eb-b7eb24886279,10/12/2026 14:00:00,Foreign Trade,LOW,RUB
85a68243-5f61-4ad8-9669-7056ec094d37,10/15/2026 13:00:00,Central Bank Reserves $,LOW,RUB
8cbe8ed9-f624-40aa-870f-fe04da44f450,10/16/2026 16:00:00,Consumer Price Index (MoM),LOW,RUB
86a0c85d-5c8e-41f3-b27b-c23395ad895c,10/21/2026 16:00:00,Producer Price Index (MoM),LOW,RUB
37fd647b-dc31-49e5-8b9d-e2c51db26bc6,10/21/2026 16:00:00,Producer Price Index (YoY),LOW,RUB
59dd98fd-632a-4aa8-874b-c89704bdb6de,10/22/2026 13:00:00,Central Bank Reserves $,LOW,RUB
e6ae4d8d-510f-46c3-ba57-827cbd86ab08,10/23/2026 10:30:00,Interest Rate Decision,MEDIUM,RUB
789d2379-f2dd-4c39-9c9b-16f29e808a4a,10/23/2026 16:00:00,Industrial Output,LOW,RUB
8287c28e-6a19-431d-b303-35b5e29b7d60,10/28/2026 16:00:00,Unemployment Rate,LOW,RUB
ddf00269-5267-4891-885c-41fa94339ccf,10/29/2026 13:00:00,Central Bank Reserves $,LOW,RUB
c57ae0d9-e955-4189-9f26-97fca854e9ab,11/02/2026 06:00:00,S&P Global Manufacturing PMI,LOW,RUB
09b7637c-95f3-450a-9f60-edc0f5483769,11/04/2026 06:00:00,S&P Global Services PMI,LOW,RUB
0d36331e-784f-459b-996c-ef4ba7d45f86,11/05/2026 13:00:00,Central Bank Reserves $,LOW,RUB
