Id,Start,Name,Impact,Currency
a202a68a-418f-423d-9250-4d3a3c1e1d0f,11/28/2025 14:00:00,Private Sector Loans (YoY),LOW,SAR
6714c34f-bd0b-4d2d-82d5-2255196b5e24,11/28/2025 16:00:00,M3 Money Supply (YoY),LOW,SAR
49a98e27-b5ef-4dd4-84b6-d4ffe6025b5f,12/03/2025 04:15:00,Riyad Bank PMI,LOW,SAR
95c77278-ab7b-4a26-a977-036f038bb501,12/08/2025 06:00:00,Gross Domestic Product (YoY),LOW,SAR
d468b22c-4f7e-4092-8319-95219814e06d,12/12/2025 19:30:00,SAMA Interest Rate Decision,LOW,SAR
e6d5e111-90e1-4c5b-a54a-90710ac38bf6,12/16/2025 06:00:00,Consumer Price Index (MoM),LOW,SAR
85545dbd-34f6-41fb-bb69-0f09a6820a30,12/16/2025 06:00:00,Consumer Price Index (YoY),LOW,SAR
36c5d527-1e99-4fd7-925a-b0441115cbea,12/29/2025 14:00:00,Private Sector Loans (YoY),LOW,SAR
9fb63003-6242-464e-9480-f2156d09e880,12/29/2025 16:00:00,M3 Money Supply (YoY),LOW,SAR
339c12c5-a590-4594-955c-8c6971a4bc32,01/05/2026 04:15:00,Riyad Bank PMI,LOW,SAR
aecccd73-1593-4ce5-a458-6a5d1864a888,01/15/2026 06:00:00,Consumer Price Index (MoM),LOW,SAR
3bc01145-4a37-4fa8-aa2f-f6015c923343,01/15/2026 06:00:00,Consumer Price Index (YoY),LOW,SAR
22cca0c3-1690-409a-9a87-4165530b72fc,01/29/2026 14:00:00,Private Sector Loans (YoY),LOW,SAR
4c335c5d-bc7c-4112-9a24-5a215c92b3d5,01/29/2026 16:00:00,M3 Money Supply (YoY),LOW,SAR
bd0398f8-307b-4a60-b281-888e6fccbfdb,01/30/2026 06:00:00,Gross Domestic Product (YoY),LOW,SAR
