Id,Start,Name,Impact,Currency
ac93e4ef-c814-4c8d-a678-b1f835a4f2f0,10/15/2025 07:00:00,Core Inflation (MoM),LOW,EUR
b7921e7d-c07b-4566-8275-311890d9d50e,10/15/2025 07:00:00,Core Inflation (YoY),LOW,EUR
3760968b-d719-4e8b-9438-3c032867eb68,10/15/2025 07:00:00,Headline Inflation (MoM),LOW,EUR
d620e548-d11a-4bab-82ae-1cea238deafa,10/15/2025 07:00:00,Headline Inflation (YoY),LOW,EUR
e7bd346a-1a8b-4db6-b3f7-5d3bbdb9b4b2,10/17/2025 07:00:00,EU Norm Inflation (MoM),LOW,EUR
995eedc9-a062-485b-a144-e8b91554627a,10/17/2025 07:00:00,EU Norm Inflation (YoY),LOW,EUR
5fa47392-68f6-4e02-9558-531dd6ee0b17,10/20/2025 08:00:00,Unemployment Rate,LOW,EUR
95d59ab2-8d73-4f1a-afd1-cdaf608de996,10/22/2025 09:00:00,Current Account Balance EUR,LOW,EUR
ae9d4040-425e-409e-8209-3d80c2e97074,10/31/2025 23:00:00,All Saints' Day,NONE,EUR
0acb7019-c742-40d4-b374-1bfefbcc6702,11/07/2025 08:00:00,Foreign Trade Balance,LOW,EUR
91715931-bc70-416a-8cfe-f90af13d9a5d,11/10/2025 08:00:00,Industrial Output (YoY),LOW,EUR
7003afe8-3d64-49b2-81d8-c122a0aa2648,11/14/2025 08:00:00,Core Inflation (MoM),LOW,EUR
449dc982-e1fd-4aa0-a7f3-eebbe8a80b61,11/14/2025 08:00:00,Core Inflation (YoY),LOW,EUR
7ec2a980-bb70-44d8-8609-f08949c95659,11/14/2025 08:00:00,Headline Inflation (MoM),LOW,EUR
d2392fb0-6c71-4df9-9dc9-b2166d6a694f,11/14/2025 08:00:00,Headline Inflation (YoY),LOW,EUR
be14269a-b05c-4d6c-b571-a6ad0883a310,11/16/2025 23:00:00,"Struggle for Freedom and Democracy Day ",NONE,EUR
95b10aad-cb82-4c77-be4d-eaf51a919abd,11/18/2025 08:00:00,EU Norm Inflation (MoM),LOW,EUR
a5b0c8cb-753a-436d-90e4-ba8185df693a,11/18/2025 08:00:00,EU Norm Inflation (YoY),LOW,EUR
9e22ae1d-9da9-4098-b966-ae9602246f5f,11/18/2025 08:00:00,Gross Domestic Product Prelim (YoY),LOW,EUR
0807b7f2-d56f-44b0-9b4a-c37e9adb044c,11/19/2025 10:00:00,Current Account Balance EUR,LOW,EUR
988b45fa-bb6f-4468-b0c8-87730e88e9ff,11/20/2025 09:00:00,Unemployment Rate,LOW,EUR
67753dd3-bedb-4528-92b1-42f053db19f9,12/04/2025 08:00:00,Gross Domestic Product Qtr Final (YoY),LOW,EUR
eb29733b-5292-4867-bab6-984490608db9,12/09/2025 08:00:00,Foreign Trade Balance,LOW,EUR
04b0f4b0-5943-430d-8368-5ab0e6cb96d4,12/10/2025 08:00:00,Industrial Output (YoY),LOW,EUR
3d609550-0a56-49c6-b2d8-3a8899d02580,12/15/2025 08:00:00,Core Inflation (MoM),LOW,EUR
02da9236-b807-4f8b-8d40-f29c8443d351,12/15/2025 08:00:00,Core Inflation (YoY),LOW,EUR
81480047-ecc7-4cf0-9973-46332ffb6c64,12/15/2025 08:00:00,Headline Inflation (MoM),LOW,EUR
