ngram_range,min_df,max_df,C,accuracy,f1_macro,f1_weighted
"(1, 1)",1,0.9,0.3,0.8994449885732941,0.8049483472369434,0.9103823098035883
"(1, 1)",1,0.9,1.0,0.9045053868756121,0.8085944950570276,0.9150385500731857
"(1, 1)",1,0.9,3.0,0.9031994776363043,0.8074611744364784,0.9135968142991037
"(1, 1)",1,0.95,0.3,0.8994449885732941,0.8049483472369434,0.9103823098035883
"(1, 1)",1,0.95,1.0,0.9045053868756121,0.8085944950570276,0.9150385500731857
"(1, 1)",1,0.95,3.0,0.9031994776363043,0.8074611744364784,0.9135968142991037
"(1, 1)",2,0.9,0.3,0.8996898465556644,0.8051151988062186,0.9106284640515476
"(1, 1)",2,0.9,1.0,0.9034443356186745,0.8078199330757698,0.9140088091655116
"(1, 1)",2,0.9,3.0,0.9036891936010447,0.8083006198464444,0.9141651896270211
"(1, 1)",2,0.95,0.3,0.8996898465556644,0.8051151988062186,0.9106284640515476
"(1, 1)",2,0.95,1.0,0.9034443356186745,0.8078199330757698,0.9140088091655116
"(1, 1)",2,0.95,3.0,0.9036891936010447,0.8083006198464444,0.9141651896270211
"(1, 1)",3,0.9,0.3,0.8999347045380346,0.805245338399492,0.9108655019947501
"(1, 1)",3,0.9,1.0,0.9035259549461312,0.8080608447860582,0.9140829262767498
"(1, 1)",3,0.9,3.0,0.9027097616715638,0.8075499911365591,0.913205847158676
"(1, 1)",3,0.95,0.3,0.8999347045380346,0.805245338399492,0.9108655019947501
"(1, 1)",3,0.95,1.0,0.9035259549461312,0.8080608447860582,0.9140829262767498
"(1, 1)",3,0.95,3.0,0.9027097616715638,0.8075499911365591,0.913205847158676
"(1, 2)",1,0.9,0.3,0.9046686255305256,0.8090726429698769,0.9146570327680651
"(1, 2)",1,0.9,1.0,0.9030362389813908,0.8075571368836266,0.9130141685550051
"(1, 2)",1,0.9,3.0,0.9025465230166504,0.8072702762911914,0.9125952581658076
"(1, 2)",1,0.95,0.3,0.9046686255305256,0.8090726429698769,0.9146570327680651
"(1, 2)",1,0.95,1.0,0.9030362389813908,0.8075571368836266,0.9130141685550051
"(1, 2)",1,0.95,3.0,0.9025465230166504,0.8072702762911914,0.9125952581658076
"(1, 2)",2,0.9,0.3,0.9036891936010447,0.8079406692243802,0.9139832860968979
"(1, 2)",2,0.9,1.0,0.9033627162912178,0.8078101668011476,0.9133443242995479
"(1, 2)",2,0.9,3.0,0.9027097616715638,0.8073368518196338,0.9127457668769083
"(1, 2)",2,0.95,0.3,0.9036891936010447,0.8079406692243802,0.9139832860968979
"(1, 2)",2,0.95,1.0,0.9033627162912178,0.8078101668011476,0.9133443242995479
"(1, 2)",2,0.95,3.0,0.9027097616715638,0.8073368518196338,0.9127457668769083
"(1, 2)",3,0.9,0.3,0.9038524322559582,0.8084356196447848,0.9139049779712034
"(1, 2)",3,0.9,1.0,0.903281096963761,0.8077399915722167,0.9132697663226769
"(1, 2)",3,0.9,3.0,0.9027097616715638,0.8073368518196338,0.9127457668769083
"(1, 2)",3,0.95,0.3,0.9038524322559582,0.8084356196447848,0.9139049779712034
"(1, 2)",3,0.95,1.0,0.903281096963761,0.8077399915722167,0.9132697663226769
"(1, 2)",3,0.95,3.0,0.9027097616715638,0.8073368518196338,0.9127457668769083
"(1, 3)",1,0.9,0.3,0.9079333986287953,0.8103326243769386,0.9165416788504902
"(1, 3)",1,0.9,1.0,0.9078517793013385,0.8100264951101762,0.9162218950485369
"(1, 3)",1,0.9,3.0,0.9082598759386222,0.8093873315033975,0.9163214546726987
"(1, 3)",1,0.95,0.3,0.9079333986287953,0.8103326243769386,0.9165416788504902
"(1, 3)",1,0.95,1.0,0.9078517793013385,0.8100264951101762,0.9162218950485369
"(1, 3)",1,0.95,3.0,0.9082598759386222,0.8093873315033975,0.9163214546726987
"(1, 3)",2,0.9,0.3,0.9067907280444009,0.8094479549823916,0.915447966740724
"(1, 3)",2,0.9,1.0,0.9078517793013385,0.809958953107162,0.9162021893440636
"(1, 3)",2,0.9,3.0,0.9094841658504734,0.8106559393125021,0.9173152346772196
"(1, 3)",2,0.95,0.3,0.9067907280444009,0.8094479549823916,0.915447966740724
"(1, 3)",2,0.95,1.0,0.9078517793013385,0.809958953107162,0.9162021893440636
"(1, 3)",2,0.95,3.0,0.9094841658504734,0.8106559393125021,0.9173152346772196
"(1, 3)",3,0.9,0.3,0.9076885406464251,0.8100329115462326,0.9163611723735868
"(1, 3)",3,0.9,1.0,0.9078517793013385,0.8100507862182538,0.9162140915768667
"(1, 3)",3,0.9,3.0,0.9085863532484493,0.8096322488452948,0.916681621580766
"(1, 3)",3,0.95,0.3,0.9076885406464251,0.8100329115462326,0.9163611723735868
"(1, 3)",3,0.95,1.0,0.9078517793013385,0.8100507862182538,0.9162140915768667
"(1, 3)",3,0.95,3.0,0.9085863532484493,0.8096322488452948,0.916681621580766
