ngram_range,min_df,max_df,C,accuracy,f1_macro,f1_weighted
"(1, 1)",1,0.9,0.3,0.9613814500326584,0.8881290184567392,0.9647295835715436
"(1, 1)",1,0.9,1.0,0.9633409536250817,0.8924863228932094,0.9663410340372428
"(1, 1)",1,0.9,3.0,0.9631776616590464,0.8920913163098207,0.9662024603797709
"(1, 1)",1,0.95,0.3,0.9613814500326584,0.8881290184567392,0.9647295835715436
"(1, 1)",1,0.95,1.0,0.9633409536250817,0.8924863228932094,0.9663410340372428
"(1, 1)",1,0.95,3.0,0.9631776616590464,0.8920913163098207,0.9662024603797709
"(1, 1)",2,0.9,0.3,0.9610548661005879,0.8873553970217405,0.9644545488874087
"(1, 1)",2,0.9,1.0,0.9633409536250817,0.8924863228932094,0.9663410340372428
"(1, 1)",2,0.9,3.0,0.9644023514043109,0.8950685111529675,0.9672436739055712
"(1, 1)",2,0.95,0.3,0.9610548661005879,0.8873553970217405,0.9644545488874087
"(1, 1)",2,0.95,1.0,0.9633409536250817,0.8924863228932094,0.9663410340372428
"(1, 1)",2,0.95,3.0,0.9644023514043109,0.8950685111529675,0.9672436739055712
"(1, 1)",3,0.9,0.3,0.9613814500326584,0.8881290184567392,0.9647295835715436
"(1, 1)",3,0.9,1.0,0.9633409536250817,0.8924863228932094,0.9663410340372428
"(1, 1)",3,0.9,3.0,0.9644023514043109,0.8949863269182137,0.9672325287432701
"(1, 1)",3,0.95,0.3,0.9613814500326584,0.8881290184567392,0.9647295835715436
"(1, 1)",3,0.95,1.0,0.9633409536250817,0.8924863228932094,0.9663410340372428
"(1, 1)",3,0.95,3.0,0.9644023514043109,0.8949863269182137,0.9672325287432701
"(1, 2)",1,0.9,0.3,0.9661169170476812,0.8997694424263598,0.9687734792527897
"(1, 2)",1,0.9,1.0,0.9679131286740692,0.9038720185199774,0.9702641427209384
"(1, 2)",1,0.9,3.0,0.9697093403004572,0.9085219670198517,0.9718289388357841
"(1, 2)",1,0.95,0.3,0.9661169170476812,0.8997694424263598,0.9687734792527897
"(1, 2)",1,0.95,1.0,0.9679131286740692,0.9038720185199774,0.9702641427209384
"(1, 2)",1,0.95,3.0,0.9697093403004572,0.9085219670198517,0.9718289388357841
"(1, 2)",2,0.9,0.3,0.9661169170476812,0.8997694424263598,0.9687734792527897
"(1, 2)",2,0.9,1.0,0.9679131286740692,0.9039487160729751,0.970274596232829
"(1, 2)",2,0.9,3.0,0.9697093403004572,0.9085219670198517,0.9718289388357841
"(1, 2)",2,0.95,0.3,0.9661169170476812,0.8997694424263598,0.9687734792527897
"(1, 2)",2,0.95,1.0,0.9679131286740692,0.9039487160729751,0.970274596232829
"(1, 2)",2,0.95,3.0,0.9697093403004572,0.9085219670198517,0.9718289388357841
"(1, 2)",3,0.9,0.3,0.9661169170476812,0.8997694424263598,0.9687734792527897
"(1, 2)",3,0.9,1.0,0.9679131286740692,0.9039487160729751,0.970274596232829
"(1, 2)",3,0.9,3.0,0.9701992161985631,0.9096367648671415,0.9722346750694805
"(1, 2)",3,0.95,0.3,0.9661169170476812,0.8997694424263598,0.9687734792527897
"(1, 2)",3,0.95,1.0,0.9679131286740692,0.9039487160729751,0.970274596232829
"(1, 2)",3,0.95,3.0,0.9701992161985631,0.9096367648671415,0.9722346750694805
"(1, 3)",1,0.9,0.3,0.9670150228608753,0.9019247608963745,0.9695330466249861
"(1, 3)",1,0.9,1.0,0.9679131286740692,0.9038720185199774,0.9702641427209384
"(1, 3)",1,0.9,3.0,0.970444154147616,0.9100511788800372,0.9724179381141133
"(1, 3)",1,0.95,0.3,0.9670150228608753,0.9019247608963745,0.9695330466249861
"(1, 3)",1,0.95,1.0,0.9679131286740692,0.9038720185199774,0.9702641427209384
"(1, 3)",1,0.95,3.0,0.970444154147616,0.9100511788800372,0.9724179381141133
"(1, 3)",2,0.9,0.3,0.9670150228608753,0.9019247608963745,0.9695330466249861
"(1, 3)",2,0.9,1.0,0.9697093403004572,0.9084481109729441,0.9718188446539847
"(1, 3)",2,0.9,3.0,0.970444154147616,0.9100511788800372,0.9724179381141133
"(1, 3)",2,0.95,0.3,0.9670150228608753,0.9019247608963745,0.9695330466249861
"(1, 3)",2,0.95,1.0,0.9697093403004572,0.9084481109729441,0.9718188446539847
"(1, 3)",2,0.95,3.0,0.970444154147616,0.9100511788800372,0.9724179381141133
"(1, 3)",3,0.9,0.3,0.9687295885042456,0.9059422692893444,0.9709695278426805
"(1, 3)",3,0.9,1.0,0.9679131286740692,0.9038720185199774,0.9702641427209384
"(1, 3)",3,0.9,3.0,0.9684846505551927,0.9052435481133523,0.9707473244182926
"(1, 3)",3,0.95,0.3,0.9687295885042456,0.9059422692893444,0.9709695278426805
"(1, 3)",3,0.95,1.0,0.9679131286740692,0.9038720185199774,0.9702641427209384
"(1, 3)",3,0.95,3.0,0.9684846505551927,0.9052435481133523,0.9707473244182926
